Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,4.666666666666667,-431687840736368495,-5413206137393354739,-0.010793650793650793,0.031746031746031744
1,3,6.0,-4217214785401613326,-8368094074307124525,0.004444444444444443,0.06349206349206349
2,3,7.0,4719984949727971368,-7412305854540729052,0.005714285714285713,0.22222222222222224
3,3,5.333333333333333,-37738182846372392,7036565899725828141,0.005079365079365079,0.20634920634920637
4,3,7.666666666666667,-7581346102043770702,6238557225044975378,0.00380952380952381,0.07936507936507936
5,3,6.666666666666667,8201918440108405914,-3881775785485145146,-0.006984126984126984,0.15873015873015872
6,3,2.6666666666666665,-4235197539150920809,-4530875699600935078,-0.005714285714285717,0.20634920634920637
7,3,4.333333333333333,8550769173833875090,-984133934533599420,0.008888888888888889,0.12698412698412698
8,3,4.0,8831275599891947047,-6339647962973398924,0.02603174603174603,0.2222222222222222
9,3,4.0,1813991093555504661,6848611956661955121,0.002539682539682538,0.1111111111111111
10,3,6.666666666666667,8877039495818675475,2613292196263835144,6.349206349206348E-4,0.015873015873015872
11,3,6.666666666666667,7458296124606770188,1676119937319726938,0.0025396825396825397,0.047619047619047616
12,3,4.0,4450666840951694110,5316661091969334360,-0.02031746031746032,0.15873015873015872
13,3,5.666666666666667,2755557405874651075,-4217328012463504550,-0.0031746031746031785,0.17460317460317457
14,3,4.666666666666667,5619561175235305235,8901201980208378621,0.013968253968253965,0.31746031746031744
15,3,7.666666666666667,-7028237669830264831,455968058747580529,0.012698412698412697,0.23809523809523814
16,3,14.0,2576879553012763897,-5590693021192923435,0.022857142857142857,0.28571428571428575
17,3,6.666666666666667,-2942635254356194985,-1545976667944623207,0.006984126984126981,0.15873015873015872
18,3,8.0,5786859084948307589,-1286852611707183301,0.016507936507936506,0.19047619047619047
19,3,6.333333333333333,-2758416753212600899,972236851567564507,0.015238095238095236,0.25396825396825395
20,3,1.6666666666666667,4024271205979940559,4188372705781424761,0.010793650793650791,0.4444444444444445
21,3,6.333333333333333,4165336601527464282,-5103614562677322530,0.005714285714285716,0.09523809523809523
22,3,7.0,9180961204476577096,-6366226953457349254,0.006349206349206347,0.30158730158730157
23,3,7.666666666666667,8184737830447503522,3836795189548511680,0.0025396825396825384,0.12698412698412698
24,3,6.333333333333333,-2021727724340311061,1568037863796318915,0.0019047619047619045,0.031746031746031744
25,3,6.0,6179611165656159142,5150017446982366504,0.0031746031746031733,0.14285714285714285
26,3,7.333333333333333,2172688933844939955,-2943471427565947740,0.022857142857142854,0.23809523809523814
27,3,6.666666666666667,-1149764589101141338,-945060930945076837,0.014603174603174602,0.14285714285714285
28,3,9.0,-8218355022469219764,4823547319797321386,6.349206349206347E-4,0.031746031746031744
29,3,23.0,1469930637003476971,-1849593743238367985,NaN,0.0
