Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,1,1.0,-431687840736368495,-5413206137393354739,0.051428571428571414,0.7619047619047619
1,1,4.0,-4217214785401613326,-8368094074307124525,0.013333333333333334,0.14285714285714285
2,2,5.5,4719984949727971368,-7412305854540729052,-0.0038095238095238104,0.11904761904761904
3,1,3.0,-37738182846372392,7036565899725828141,0.007619047619047616,0.14285714285714285
4,100,224.52,-7581346102043770702,6238557225044975378,NaN,0.0
5,1,5.0,8201918440108405914,-3881775785485145146,0.005714285714285714,0.047619047619047616
6,1,2.0,-4235197539150920809,-4530875699600935078,0.03619047619047619,0.42857142857142855
7,100,223.16,8550769173833875090,-984133934533599420,NaN,0.0
8,1,2.0,8831275599891947047,-6339647962973398924,-0.020952380952380955,0.14285714285714285
9,100,214.25,1813991093555504661,6848611956661955121,NaN,0.0
10,1,4.0,8877039495818675475,2613292196263835144,0.007619047619047617,0.09523809523809523
11,100,223.09,7458296124606770188,1676119937319726938,NaN,0.0
12,100,222.8,4450666840951694110,5316661091969334360,NaN,0.0
13,2,4.0,2755557405874651075,-4217328012463504550,0.010476190476190476,0.11904761904761904
14,2,4.0,5619561175235305235,8901201980208378621,-0.008571428571428572,0.023809523809523808
15,1,3.0,-7028237669830264831,455968058747580529,0.047619047619047616,0.38095238095238093
16,1,1.0,2576879553012763897,-5590693021192923435,0.06095238095238094,0.8095238095238095
17,1,4.0,-2942635254356194985,-1545976667944623207,0.030476190476190476,0.23809523809523808
18,100,218.79,5786859084948307589,-1286852611707183301,NaN,0.0
19,1,5.0,-2758416753212600899,972236851567564507,0.015238095238095236,0.14285714285714285
20,1,7.0,4024271205979940559,4188372705781424761,0.01333333333333333,0.09523809523809523
21,1,5.0,4165336601527464282,-5103614562677322530,0.0038095238095238087,0.047619047619047616
22,1,2.0,9180961204476577096,-6366226953457349254,0.022857142857142857,0.3333333333333333
23,100,221.61,8184737830447503522,3836795189548511680,NaN,0.0
24,1,5.0,-2021727724340311061,1568037863796318915,0.013333333333333334,0.14285714285714285
25,100,221.81,6179611165656159142,5150017446982366504,NaN,0.0
26,2,3.5,2172688933844939955,-2943471427565947740,-9.523809523809527E-4,0.26190476190476186
27,100,224.11,-1149764589101141338,-945060930945076837,NaN,0.0
28,1,5.0,-8218355022469219764,4823547319797321386,0.0019047619047619045,0.047619047619047616
29,1,5.0,1469930637003476971,-1849593743238367985,0.007619047619047617,0.09523809523809523
