Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,4.500000,-7043758742217982857,,0.066286,0.414286
1,10,5.900000,8707954276765923475,,0.073905,0.461905
2,10,4.900000,4662079647706855674,,0.070095,0.438095
3,10,3.600000,-4802810422631167565,,0.060190,0.376190
4,10,5.100000,3996895840604163169,,0.079238,0.495238
5,10,4.800000,7248772592320880373,,0.065524,0.409524
6,10,2.800000,-583284472280717930,,0.050286,0.314286
7,10,3.900000,5450613601987745598,,0.058667,0.366667
8,10,3.600000,2465215686545525737,,0.054857,0.342857
9,10,4.700000,-5925965430943097785,,0.073143,0.457143
10,10,3.900000,4073465034293261895,,0.060952,0.380952
11,10,3.300000,5500982552707870460,,0.059429,0.371429
12,10,4.000000,-8087152709295267412,,0.070095,0.438095
13,10,4.000000,2463345219707692294,,0.064762,0.404762
14,10,4.900000,-1573151565400991018,,0.061714,0.385714
15,10,5.300000,6575360535712148390,,0.084571,0.528571
16,10,6.800000,8545452842038112058,,0.093714,0.585714
17,10,6.200000,4559753183287092164,,0.087619,0.547619
18,10,4.700000,-7717894359530931909,,0.085333,0.533333
19,10,4.100000,-340603513212638393,,0.064762,0.404762
20,10,5.300000,7203957500691921817,,0.086857,0.542857
21,10,3.600000,-7368748405856802905,,0.067810,0.423810
22,10,3.600000,7591611675976974375,,0.062476,0.390476
23,10,3.400000,-8780158238612052545,,0.048000,0.300000
24,10,3.600000,-9186212156855358016,,0.063238,0.395238
25,10,6.300000,1412406304787882727,,0.080762,0.504762
26,10,7.000000,2476015689387133307,,0.099810,0.623810
27,10,3.700000,3685151638898250562,,0.060190,0.376190
28,10,6.600000,3374496202386331421,,0.087619,0.547619
29,10,3.300000,-4440044104520074924,,0.052571,0.328571
