Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,10.333333333333334,615701874688213321,-5007400276311477838,0.04825396825396825,0.4920634920634921
1,3,31.0,-731920045149869278,5846099771256469497,0.011428571428571429,0.1111111111111111
2,3,16.666666666666668,1719911554806448974,3199580336204505392,0.014603174603174602,0.17460317460317457
3,3,24.333333333333332,-3392775679021497287,3037866708443872839,0.00761904761904762,0.047619047619047616
4,3,17.333333333333332,7801297046502405985,2157617775262633003,0.00761904761904762,0.047619047619047616
5,3,56.0,7698224372445293057,-5829656049355129221,NaN,0.0
6,3,70.33333333333333,-2547339213636913147,-136227357419199939,NaN,0.0
7,3,23.333333333333332,-1438240251348758041,1501143513731812521,0.024761904761904763,0.2222222222222222
8,3,33.666666666666664,-5486907429663553238,-9063102000978051779,0.008888888888888889,0.07936507936507936
9,3,18.333333333333332,-5617604998408386434,3000735113951518647,0.00761904761904762,0.047619047619047616
10,3,26.0,-2580105511230670875,-5671212118208216656,0.00761904761904762,0.047619047619047616
11,3,33.0,-2667486105195054517,-1203264200981239577,0.00761904761904762,0.047619047619047616
12,3,23.333333333333332,1464519540864713059,-1342975680896576898,0.03301587301587302,0.30158730158730157
13,3,21.666666666666668,4580329666722018780,7633583313609887924,0.045714285714285714,0.41269841269841273
14,3,178.0,1331434713066747163,2916073516075125736,NaN,0.0
15,3,31.0,-98693687425287393,5845332684040383714,0.00761904761904762,0.047619047619047616
16,3,27.333333333333332,-272842751338084797,5872432995371219385,0.02666666666666667,0.19047619047619047
17,3,38.333333333333336,8759335333482589168,4341468293307696080,NaN,0.0
18,3,53.0,-5841426530208530300,6080080566309485755,NaN,0.0
19,3,21.666666666666668,-6694363419484950029,-5229501694884957936,-0.001904761904761905,0.0
20,3,61.666666666666664,-3692554466320100368,-7956571393600875668,NaN,0.0
21,3,102.66666666666667,1261163605720919459,911775351054434105,NaN,0.0
22,3,206.33333333333334,-6180516448598987725,9104494604360268273,NaN,0.0
23,3,14.0,-3785757993379167573,-228674030129460485,0.015873015873015876,0.2380952380952381
24,3,27.666666666666668,2883228848343041800,-4442905035025656501,0.00761904761904762,0.047619047619047616
25,3,18.666666666666668,1370411077403006324,-3554851162527267981,-0.001904761904761905,0.0
26,3,15.333333333333334,5786220188709912047,-854675858762785336,0.019047619047619046,0.2222222222222222
27,3,19.333333333333332,-770718479953605122,1001687496713329599,0.014603174603174604,0.1111111111111111
28,3,14.0,-7590127605899249892,7283640968570584251,0.0025396825396825405,0.15873015873015872
29,3,22.333333333333332,8594417731260363763,-4270354272277888555,0.007619047619047619,0.09523809523809523
