Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,2,1.5,615701874688213321,,0.020952380952380955,0.8809523809523809
1,2,3.0,-731920045149869278,,0.008571428571428567,0.5714285714285714
2,4,1.5,1719911554806448974,,0.026666666666666658,0.6071428571428571
3,1,2.0,-3392775679021497287,,0.039999999999999994,1.0
4,1,8.0,7801297046502405985,,0.01904761904761905,0.19047619047619047
5,2,1.0,7698224372445293057,,0.03619047619047619,0.9761904761904762
6,3,3.6666666666666665,-2547339213636913147,,0.012063492063492063,0.4603174603174603
7,2,5.5,-1438240251348758041,,0.011428571428571425,0.6428571428571428
8,1,1.0,-5486907429663553238,,0.028571428571428564,0.3333333333333333
9,2,5.0,-5617604998408386434,,0.019999999999999997,0.21428571428571427
10,1,3.0,-2580105511230670875,,0.03238095238095238,0.8095238095238095
11,2,7.5,-2667486105195054517,,-0.0019047619047619082,0.16666666666666666
12,6,6.666666666666667,1464519540864713059,,0.0073015873015872985,0.2301587301587302
13,2,4.0,4580329666722018780,,0.0219047619047619,0.8809523809523809
14,3,6.666666666666667,1331434713066747163,,0.00634920634920635,0.07936507936507936
15,1,1.0,-98693687425287393,,0.015238095238095236,1.0
16,2,1.0,-272842751338084797,,0.016190476190476172,0.9523809523809523
17,2,7.5,8759335333482589168,,0.013333333333333329,0.4523809523809524
18,3,4.333333333333333,-5841426530208530300,,0.0165079365079365,0.6984126984126983
19,2,4.5,-6694363419484950029,,0.01333333333333333,0.5238095238095238
20,1,3.0,-3692554466320100368,,0.02666666666666665,0.8095238095238095
21,2,12.5,1261163605720919459,,0.002857142857142849,0.4285714285714286
22,5,10.2,-6180516448598987725,,0.005333333333333333,0.19047619047619052
23,2,6.0,-3785757993379167573,,0.03619047619047618,0.7380952380952381
24,1,4.0,2883228848343041800,,0.017142857142857137,0.47619047619047616
25,3,6.0,1370411077403006324,,0.00634920634920635,0.07936507936507936
26,1,3.0,5786220188709912047,,0.020952380952380938,0.9523809523809523
27,4,6.75,-770718479953605122,,0.0019047619047619028,0.24999999999999997
28,3,3.6666666666666665,-7590127605899249892,,0.005714285714285713,0.07936507936507936
29,1,4.0,8594417731260363763,,0.047619047619047596,0.9047619047619048
