Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,8439.0,3394053878439304766,,NaN,0.0
1,3,9831.0,8031753614496833124,,NaN,0.0
2,3,9894.0,5749707386842579805,,NaN,0.0
3,3,9512.0,-7108450670121493499,,NaN,0.0
4,3,9876.0,4226493937843085135,,NaN,0.0
5,3,9399.666666666666,-8718212088944526529,,NaN,0.0
6,3,9934.0,8613096305672968387,,NaN,0.0
7,3,9967.333333333334,-1991451534383343133,,NaN,0.0
8,3,10050.333333333334,2798483654236051920,,NaN,0.0
9,3,10168.0,8909983974411608792,,NaN,0.0
10,3,10283.333333333334,4286777641714463834,,NaN,0.0
11,3,9626.0,-7431114949873425636,,NaN,0.0
12,3,9814.0,5999427699553298618,,NaN,0.0
13,3,9688.333333333334,-3803985480541803767,,NaN,0.0
14,3,9745.333333333334,3151921647258940062,,NaN,0.0
15,3,9547.666666666666,1223193723853012953,,NaN,0.0
16,3,9774.666666666666,2637859300016226348,,NaN,0.0
17,3,9958.333333333334,1336982290880962924,,NaN,0.0
18,3,10403.666666666666,-5442790682629687443,,NaN,0.0
19,3,9660.0,1028980390827288648,,NaN,0.0
20,3,9290.666666666666,6939512748233928168,,NaN,0.0
21,3,9464.0,2850581160160542688,,NaN,0.0
22,3,9030.0,-3684115661748767091,,NaN,0.0
23,3,9783.666666666666,-8938752901239521000,,NaN,0.0
24,3,9261.0,4687652294793308629,,NaN,0.0
25,3,9747.666666666666,-1251935215777009400,,NaN,0.0
26,3,9756.666666666666,3993438426385288230,,NaN,0.0
27,3,9804.666666666666,2234823566502373376,,NaN,0.0
28,3,10090.666666666666,-1229260075000547717,,NaN,0.0
29,3,10419.333333333334,-8106860695108836149,,NaN,0.0
