Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,5.100000,3394053878439304766,-4709125666590644924,0.024571,0.157143
1,10,4.700000,8031753614496833124,8524694965479837752,0.025714,0.161905
2,10,150.800000,5749707386842579805,-1080808054858591862,0.000000,0.000000
3,10,4.300000,-7108450670121493499,-6173171604700138283,0.033333,0.214286
4,10,5.600000,4226493937843085135,4118024146015205462,0.052381,0.328571
5,10,4.300000,-8718212088944526529,6384886276570705661,0.019810,0.123810
6,10,3.200000,8613096305672968387,4714267896173556819,0.042857,0.271429
7,10,3.800000,-1991451534383343133,-7833250438825797355,0.034286,0.219048
8,10,5.400000,2798483654236051920,2772656731903708594,0.038476,0.242857
9,10,4.500000,8909983974411608792,2947868464888805394,0.030286,0.190476
10,10,4.300000,4286777641714463834,-1671940384844389299,0.044762,0.280952
11,10,4.000000,-7431114949873425636,7499758332406672445,0.038095,0.238095
12,10,2.500000,5999427699553298618,7351988492660922383,0.041333,0.266667
13,10,4.400000,-3803985480541803767,-7364553517575509446,0.028190,0.176190
14,10,4.700000,3151921647258940062,7498752524952474514,0.025714,0.161905
15,10,37.100000,1223193723853012953,589102651432304710,0.005333,0.095238
16,10,3.800000,2637859300016226348,-2293246980618511095,0.028762,0.180952
17,10,4.900000,1336982290880962924,7090307376504040383,0.027429,0.171429
18,10,3.600000,-5442790682629687443,-4315297922638474913,0.028762,0.180952
19,10,4.300000,1028980390827288648,-7655903594230463767,0.024762,0.157143
20,10,4.100000,6939512748233928168,-489550560723915360,0.024952,0.157143
21,10,3.400000,2850581160160542688,-5155149602563524882,0.046857,0.295238
22,10,140.300000,-3684115661748767091,-5106765539353851240,0.000000,0.100000
23,10,4.400000,-8938752901239521000,3062116792702120486,0.025714,0.161905
24,10,7.400000,4687652294793308629,5538490725010370233,0.028190,0.176190
25,10,3.200000,-1251935215777009400,8386393818981783193,0.034857,0.219048
26,10,4.200000,3993438426385288230,8588248674537855553,0.037714,0.238095
27,10,4.200000,2234823566502373376,-2825911602729656127,0.026857,0.171429
28,10,2.400000,-1229260075000547717,-9188395821513330277,0.030095,0.190476
29,10,3.700000,-8106860695108836149,-4223695367652232557,0.027619,0.176190
