Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,300.6666666666667,-9135264219944816664,-4170839310752060423,NaN,0.10699588477366255
1,3,456.3333333333333,-6970019261555608491,6637456053905217604,NaN,0.004115226337448559
2,3,2079.0,7495156895743000370,9084115387020215246,NaN,0.0
3,3,603.3333333333334,-94727898626380715,8669768672924734380,NaN,0.0
4,3,391.6666666666667,6565892200155805630,-9210950363997588286,NaN,0.0
5,3,3646.6666666666665,3792778121158126172,-3246744019131237220,NaN,0.0
6,3,133.33333333333334,-7506666309343057371,-2305117862314156222,NaN,0.06995884773662552
7,3,3477.0,3067036520714312206,5037498403538105886,NaN,0.0
8,3,952.3333333333334,-3213644572916114006,330243034697697080,NaN,0.0
9,3,2148.3333333333335,2962477786232483183,-3108792280960384693,NaN,0.0
10,3,2487.3333333333335,-6929572361441950729,3641664059603011711,NaN,0.0
11,3,1455.3333333333333,-894554622491502150,-8634640002312353574,NaN,0.0
12,3,4396.666666666667,-538634307763031028,49364456508792467,NaN,0.0
13,3,3888.0,-2352583203455464080,8601756815635976697,NaN,0.0
14,3,2196.0,-1369694665701121932,-5541302319843740792,NaN,0.0
15,3,767.0,-2302328934571035725,-2767791427692665249,NaN,0.0
16,3,2215.3333333333335,-8446782676469220167,2155249111247825469,NaN,0.0
17,3,3022.0,-7962210810938550060,-5858784277170484319,NaN,0.0
18,3,143.33333333333334,5495097992742323737,-1552437205734615087,NaN,0.04938271604938271
19,3,2734.6666666666665,-6704501622894099415,-282212094750319675,NaN,0.0
20,3,3501.6666666666665,8904522683295081337,-1147904368870678444,NaN,0.0
21,3,1517.0,3662418549294816036,-8146400223033437420,NaN,0.0
22,3,2682.6666666666665,-5185767791853367143,1271391017347246785,NaN,0.0
23,3,3792.3333333333335,5828207581162496416,-9099525616580303052,NaN,0.0
24,3,299.3333333333333,8451254970367903880,-8468873502983921620,NaN,0.004115226337448559
25,3,1324.6666666666667,930648673765337982,5580851015306820469,NaN,0.0
26,3,3400.0,3920637226472465242,6630425906011564599,NaN,0.0
27,3,1440.6666666666667,-2041146224183405712,5195455518393239146,NaN,0.0
28,3,1167.0,1171952081736817433,4282702473584714954,NaN,0.0
29,3,2617.3333333333335,-7383726107964093676,638802095983606972,NaN,0.0
