Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,1,2.0,-9135264219944816664,,0.001666666666666657,0.25925925925925924
1,100,4098.82,-6970019261555608491,,NaN,0.0
2,100,4101.98,7495156895743000370,,NaN,0.0
3,100,4102.43,-94727898626380715,,NaN,0.0
4,100,4104.72,6565892200155805630,,NaN,0.0
5,100,4099.31,3792778121158126172,,NaN,0.0
6,1,6.0,-7506666309343057371,,5.555555555555554E-4,0.012345679012345678
7,1,2.0,3067036520714312206,,-0.010833333333333342,0.25925925925925924
8,100,4099.69,-3213644572916114006,,NaN,0.0
9,100,4103.42,2962477786232483183,,NaN,0.0
10,1,2.0,-6929572361441950729,,-0.010555555555555558,0.20987654320987653
11,100,4092.59,-894554622491502150,,NaN,0.0
12,100,4101.18,-538634307763031028,,NaN,0.0
13,100,4085.14,-2352583203455464080,,NaN,0.0
14,100,4082.6,-1369694665701121932,,NaN,0.0
15,100,4098.81,-2302328934571035725,,NaN,0.0
16,100,4079.6,-8446782676469220167,,NaN,0.0
17,1,2.0,-7962210810938550060,,0.057499999999999996,0.3333333333333333
18,100,4090.72,5495097992742323737,,NaN,0.0
19,100,4096.59,-6704501622894099415,,NaN,0.0
20,100,4092.62,8904522683295081337,,NaN,0.0
21,100,4117.63,3662418549294816036,,NaN,0.0
22,100,4117.53,-5185767791853367143,,NaN,0.0
23,1,1.0,5828207581162496416,,-0.013888888888888895,0.4691358024691358
24,100,4093.55,8451254970367903880,,NaN,0.0
25,100,4087.9,930648673765337982,,NaN,0.0
26,100,4098.78,3920637226472465242,,NaN,0.0
27,100,4086.98,-2041146224183405712,,NaN,0.0
28,100,4097.16,1171952081736817433,,NaN,0.0
29,100,4094.02,-7383726107964093676,,NaN,0.0
