Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,450.6666666666667,4357829094847460194,,NaN,0.0
1,3,489.6666666666667,5516181237876660710,,NaN,0.0
2,3,455.6666666666667,-4031314496734744364,,NaN,0.0
3,3,488.0,8959970654835835282,,NaN,0.0
4,3,506.6666666666667,-2661287289439107155,,NaN,0.0
5,3,488.0,1159523101284819932,,NaN,0.0
6,3,484.3333333333333,6670945609416912068,,NaN,0.0
7,3,494.0,-4122614407145035126,,NaN,0.0
8,3,513.0,-6044811859908316477,,NaN,0.0
9,3,493.6666666666667,7001725640411585609,,NaN,0.0
10,3,440.3333333333333,-1700739888433631511,,NaN,0.0
11,3,500.0,2427429775464536343,,NaN,0.0
12,3,467.0,9178379743920317962,,NaN,0.0
13,3,469.6666666666667,7999397004433864933,,NaN,0.0
14,3,505.0,8078511059438339547,,NaN,0.0
15,3,493.0,-8518841945953275785,,NaN,0.0
16,3,470.3333333333333,-8475379806200697236,,NaN,0.0
17,3,475.6666666666667,7501792551306109071,,NaN,0.0
18,3,470.6666666666667,7716343785971470324,,NaN,0.0
19,3,485.0,7339507497671603017,,NaN,0.0
20,3,482.3333333333333,3005304196960280788,,NaN,0.0
21,3,473.0,4782130383769119688,,NaN,0.0
22,3,491.6666666666667,-6428938404581625898,,NaN,0.0
23,3,495.6666666666667,-8959364547529831406,,NaN,0.0
24,3,459.3333333333333,5141059719838914229,,NaN,0.0
25,3,452.6666666666667,-6479274561368607432,,NaN,0.0
26,3,496.0,1334775086468059361,,NaN,0.0
27,3,467.3333333333333,-3606722459112462918,,NaN,0.0
28,3,462.0,-7047456612054664574,,NaN,0.0
29,3,458.0,166882554411530792,,NaN,0.0
