Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,4.100000,4357829094847460194,-3210600379278361667,0.065389,0.264198
1,10,4.100000,5516181237876660710,4827990684190659596,0.086472,0.349383
2,10,4.400000,-4031314496734744364,4327433481985827895,0.088611,0.358025
3,10,4.100000,8959970654835835282,4367225136546581255,0.083111,0.335802
4,10,4.400000,-2661287289439107155,9046677772518423255,0.103278,0.417284
5,10,4.200000,1159523101284819932,-7908958083271603143,0.079750,0.322222
6,10,3.900000,6670945609416912068,-5425210667482774065,0.067222,0.271605
7,10,4.200000,-4122614407145035126,86986340959554534,0.071806,0.290123
8,10,4.700000,-6044811859908316477,3758891560439451355,0.088000,0.355556
9,10,4.600000,7001725640411585609,5661033613827796310,0.093194,0.376543
10,10,4.000000,-1700739888433631511,8213414888722589643,0.090139,0.364198
11,10,4.000000,2427429775464536343,8374972381569549563,0.078222,0.316049
12,10,4.100000,9178379743920317962,-4522441832505248961,0.055611,0.224691
13,10,3.900000,7999397004433864933,-3273666817163421479,0.088306,0.356790
14,10,4.600000,8078511059438339547,7913936994070099377,0.084944,0.343210
15,10,4.400000,-8518841945953275785,-1774795687654489310,0.075167,0.303704
16,10,3.900000,-8475379806200697236,7507382498209428153,0.077611,0.313580
17,10,4.700000,7501792551306109071,-3824744509396018400,0.086167,0.348148
18,10,4.300000,7716343785971470324,7841240775633771147,0.065083,0.262963
19,10,4.600000,7339507497671603017,4840285925513742423,0.072111,0.291358
20,10,3.600000,3005304196960280788,6219258197786495939,0.086472,0.349383
21,10,4.600000,4782130383769119688,-2711577608914492438,0.082806,0.334568
22,10,4.500000,-6428938404581625898,-9175507654823744156,0.070278,0.283951
23,10,4.200000,-8959364547529831406,424734069071629373,0.081889,0.330864
24,10,3.900000,5141059719838914229,1728015794239644958,0.073944,0.298765
25,10,5.000000,-6479274561368607432,-991115509214425381,0.091972,0.371605
26,10,4.000000,1334775086468059361,3715264945759628751,0.073944,0.298765
27,10,3.900000,-3606722459112462918,1548966928496905370,0.057750,0.233333
28,10,4.800000,-7047456612054664574,7427446477655953995,0.067528,0.272840
29,10,3.900000,166882554411530792,-3930003979754587139,0.080972,0.327160
