Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,4.200000,-7240348996590834719,,0.169278,0.683951
1,10,4.400000,-5311242831059256485,,0.167444,0.676543
2,10,5.300000,7133267839299909563,,0.172028,0.695062
3,10,5.000000,-4879770653013578426,,0.171722,0.693827
4,10,4.800000,-7978032600194138122,,0.169583,0.685185
5,10,5.100000,-1706805836430481502,,0.168972,0.682716
6,10,5.200000,5597175164159858910,,0.172333,0.696296
7,10,4.800000,2308274237443303783,,0.170194,0.687654
8,10,4.500000,5796021815880667158,,0.168972,0.682716
9,10,4.500000,-7872638020691053655,,0.169278,0.683951
10,10,4.700000,5196582072723136751,,0.169278,0.683951
11,10,4.600000,5181566153864349709,,0.171111,0.691358
12,10,4.800000,-911983138636948996,,0.170500,0.688889
13,10,5.000000,-9160245594678502793,,0.171722,0.693827
14,10,4.400000,6924204159067555813,,0.170500,0.688889
15,10,4.600000,8365669357447244296,,0.169278,0.683951
16,10,4.800000,3419465013329475963,,0.170806,0.690123
17,10,4.700000,-434629981971614393,,0.170806,0.690123
18,10,4.500000,8854165114489647373,,0.169278,0.683951
19,10,5.100000,2032032855639653789,,0.169889,0.686420
20,10,4.300000,7228670512627652345,,0.168972,0.682716
21,10,4.500000,4632759219560893958,,0.170500,0.688889
22,10,4.900000,8634985996155453829,,0.170806,0.690123
23,10,4.900000,5238685447327365381,,0.171111,0.691358
24,10,4.600000,-5112783292783499793,,0.170500,0.688889
25,10,4.600000,8558643142744130008,,0.170500,0.688889
26,10,4.500000,-8353632230263879998,,0.170500,0.688889
27,10,4.600000,-4193303632596949779,,0.170194,0.687654
28,10,5.200000,1007458335645561706,,0.172028,0.695062
29,10,4.600000,-7073872138731293804,,0.171111,0.691358
