Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,2,3.0,-431687840736368495,-5413206137393354739,-0.04069444444444445,0.12345679012345678
1,1,3.0,-4217214785401613326,-8368094074307124525,2.777777777777737E-4,0.1728395061728395
2,1,1.0,4719984949727971368,-7412305854540729052,0.05833333333333332,0.6296296296296297
3,2,2.5,-37738182846372392,7036565899725828141,-0.03805555555555556,0.20987654320987653
4,2,4.0,-7581346102043770702,6238557225044975378,0.00736111111111111,0.08024691358024691
5,1,2.0,8201918440108405914,-3881775785485145146,0.04027777777777777,0.2839506172839506
6,2,2.5,-4235197539150920809,-4530875699600935078,0.020000000000000004,0.33333333333333337
7,1,4.0,8550769173833875090,-984133934533599420,0.013055555555555556,0.12345679012345678
8,1,3.0,8831275599891947047,-6339647962973398924,0.04694444444444444,0.20987654320987653
9,1,2.0,1813991093555504661,6848611956661955121,0.015,0.2222222222222222
10,1,8.0,8877039495818675475,2613292196263835144,0.012222222222222223,0.04938271604938271
11,1,4.0,7458296124606770188,1676119937319726938,0.01888888888888889,0.08641975308641975
12,3,4.666666666666667,4450666840951694110,5316661091969334360,-0.009074074074074073,0.16872427983539096
13,1,2.0,2755557405874651075,-4217328012463504550,0.02583333333333333,0.2962962962962963
14,2,3.5,5619561175235305235,8901201980208378621,-0.013749999999999997,0.2222222222222222
15,1,1.0,-7028237669830264831,455968058747580529,0.008333333333333331,0.5185185185185185
16,2,3.0,2576879553012763897,-5590693021192923435,0.003194444444444439,0.2654320987654321
17,1,2.0,-2942635254356194985,-1545976667944623207,0.021111111111111115,0.24691358024691357
18,1,2.0,5786859084948307589,-1286852611707183301,0.0225,0.3333333333333333
19,3,4.0,-2758416753212600899,972236851567564507,-0.03990740740740741,0.09465020576131687
20,1,1.0,4024271205979940559,4188372705781424761,0.08611111111111111,0.691358024691358
21,3,4.0,4165336601527464282,-5103614562677322530,-0.013981481481481482,0.0411522633744856
22,1,1.0,9180961204476577096,-6366226953457349254,0.05833333333333332,0.6296296296296297
23,1,2.0,8184737830447503522,3836795189548511680,0.0313888888888889,0.30864197530864196
24,2,3.0,-2021727724340311061,1568037863796318915,-0.004583333333333335,0.14814814814814814
25,3,4.333333333333333,6179611165656159142,5150017446982366504,-0.015462962962962965,0.0823045267489712
26,2,1.0,2172688933844939955,-2943471427565947740,0.01944444444444443,0.5432098765432098
27,3,3.3333333333333335,-1149764589101141338,-945060930945076837,-0.004722222222222225,0.1728395061728395
28,3,5.0,-8218355022469219764,4823547319797321386,-0.001388888888888888,0.06172839506172839
29,2,5.0,1469930637003476971,-1849593743238367985,-0.010138888888888888,0.024691358024691357
