Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,49301.666666666664,524551114886859566,,NaN,0.0
1,3,50194.666666666664,-777356871305875418,,NaN,0.0
2,3,51071.333333333336,8283392934691555529,,NaN,0.0
3,3,47955.333333333336,-3279810375433129492,,NaN,0.0
4,3,47907.666666666664,-4980145563275602742,,NaN,0.0
5,3,49540.333333333336,2196876352119362033,,NaN,0.0
6,3,46734.333333333336,6755379811690263699,,NaN,0.0
7,3,47997.333333333336,-3616895164650845876,,NaN,0.0
8,3,47250.666666666664,8119522235495169685,,NaN,0.0
9,3,47235.0,1486462369054921338,,NaN,0.0
10,3,49552.333333333336,-3060355893783818163,,NaN,0.0
11,3,43897.333333333336,-819336394794478990,,NaN,0.0
12,3,46205.0,-4727168696563290255,,NaN,0.0
13,3,44857.666666666664,-9220206514213470474,,NaN,0.0
14,3,47924.0,-8526642465217279386,,NaN,0.0
15,3,47648.666666666664,-3413050695557114325,,NaN,0.0
16,3,49510.0,9042204722340793332,,NaN,0.0
17,3,48735.333333333336,5246930415981296491,,NaN,0.0
18,3,48728.0,8193080305343641148,,NaN,0.0
19,3,41548.333333333336,-233034162139722406,,NaN,0.0
20,3,50234.0,857285680024254696,,NaN,0.0
21,3,47689.666666666664,-5548442615758567113,,NaN,0.0
22,3,49410.333333333336,-7611929872995862876,,NaN,0.0
23,3,48006.666666666664,-4183405644189413516,,NaN,0.0
24,3,48728.666666666664,8741872184779976142,,NaN,0.0
25,3,47881.0,-811202130215740025,,NaN,0.0
26,3,48168.666666666664,87872779133270121,,NaN,0.0
27,3,48219.333333333336,7430688531339907330,,NaN,0.0
28,3,49412.0,-708073837851240618,,NaN,0.0
29,3,49745.666666666664,8708071162764642273,,NaN,0.0
