Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3.200000,976340229801220493,,0.113361,0.458025
1,10,2.600000,-7910174600741877041,,0.116417,0.470370
2,10,2.500000,-986803214068069614,,0.117333,0.474074
3,10,3.200000,-5185477647917593678,,0.114278,0.461728
4,10,2.900000,1460570171212168923,,0.117028,0.472840
5,10,3.300000,-7550282398100885007,,0.112750,0.455556
6,10,2.600000,594727344823564867,,0.117028,0.472840
7,10,3.300000,6535692512511528692,,0.118250,0.477778
8,10,3.100000,-8118647211626895026,,0.118556,0.479012
9,10,2.900000,-5943115126710776622,,0.112139,0.453086
10,10,3.400000,7354758028696582856,,0.117944,0.476543
11,10,3.200000,-1644366302335475432,,0.118556,0.479012
12,10,2.900000,1434871719750048430,,0.115194,0.465432
13,10,2.600000,-5914735472903460920,,0.112139,0.453086
14,10,2.700000,1469584125830491853,,0.114278,0.461728
15,10,2.500000,-8204811084149069148,,0.114889,0.464198
16,10,2.700000,-159625262583219799,,0.114583,0.462963
17,10,2.800000,1986887483683313836,,0.116417,0.470370
18,10,2.400000,-2008040158371412065,,0.116722,0.471605
19,10,3.200000,-6867290789522542108,,0.113667,0.459259
20,10,2.700000,-8988953479736964531,,0.113972,0.460494
21,10,3.200000,-5466133510888592551,,0.114583,0.462963
22,10,3.300000,-3917271009425799631,,0.110917,0.448148
23,10,2.700000,305668928598953830,,0.116722,0.471605
24,10,2.600000,4078504486488274576,,0.115806,0.467901
25,10,3.200000,-5839132642987942349,,0.116111,0.469136
26,10,2.900000,7964399402310126488,,0.110917,0.448148
27,10,3.300000,303018294381507198,,0.111528,0.450617
28,10,2.700000,-4175036774578788664,,0.113972,0.460494
29,10,2.500000,1047922224785075869,,0.113972,0.460494
