Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,100,4093.71,-7043758742217982857,,NaN,0.0
1,100,4089.35,8707954276765923475,,NaN,0.0
2,100,4116.99,4662079647706855674,,NaN,0.0
3,100,4098.65,-4802810422631167565,,NaN,0.0
4,1,3.0,3996895840604163169,,0.026111111111111123,0.35802469135802467
5,100,4078.89,7248772592320880373,,NaN,0.0
6,100,4097.27,-583284472280717930,,NaN,0.0
7,100,4092.74,5450613601987745598,,NaN,0.0
8,100,4115.48,2465215686545525737,,NaN,0.0
9,1,4.0,-5925965430943097785,,-0.02666666666666667,0.07407407407407407
10,1,2.0,4073465034293261895,,0.03444444444444444,0.7654320987654321
11,100,4106.39,5500982552707870460,,NaN,0.0
12,100,4091.78,-8087152709295267412,,NaN,0.0
13,1,3.0,2463345219707692294,,-0.046666666666666676,0.18518518518518517
14,100,4087.46,-1573151565400991018,,NaN,0.0
15,100,4101.95,6575360535712148390,,NaN,0.0
16,1,5.0,8545452842038112058,,0.03166666666666666,0.14814814814814814
17,100,4101.58,4559753183287092164,,NaN,0.0
18,100,4071.96,-7717894359530931909,,NaN,0.0
19,1,4.0,-340603513212638393,,-0.0038888888888888896,0.024691358024691357
20,100,4096.05,7203957500691921817,,NaN,0.0
21,100,4110.11,-7368748405856802905,,NaN,0.0
22,1,1.0,7591611675976974375,,-0.017222222222222215,0.8395061728395061
23,100,4095.03,-8780158238612052545,,NaN,0.0
24,100,4080.69,-9186212156855358016,,NaN,0.0
25,100,4100.11,1412406304787882727,,NaN,0.0
26,100,4092.27,2476015689387133307,,NaN,0.0
27,100,4106.1,3685151638898250562,,NaN,0.0
28,1,1.0,3374496202386331421,,0.00749999999999999,1.0
29,100,4086.77,-4440044104520074924,,NaN,0.0
