Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,2.3333333333333335,615701874688213321,-5007400276311477838,-0.005277777777777785,0.5679012345679012
1,3,6.333333333333333,-731920045149869278,5846099771256469497,0.027037037037037026,0.4156378600823045
2,3,5.0,1719911554806448974,3199580336204505392,0.0077777777777777715,0.54320987654321
3,3,2.6666666666666665,-3392775679021497287,3037866708443872839,0.013148148148148138,0.3292181069958848
4,3,3.3333333333333335,7801297046502405985,2157617775262633003,0.03268518518518518,0.3374485596707819
5,3,2.6666666666666665,7698224372445293057,-5829656049355129221,0.023518518518518505,0.48559670781893005
6,3,3.3333333333333335,-2547339213636913147,-136227357419199939,-0.005925925925925926,0.016460905349794237
7,3,3.0,-1438240251348758041,1501143513731812521,-0.006666666666666669,0.48148148148148145
8,3,11.0,-5486907429663553238,-9063102000978051779,NaN,0.06584362139917695
9,3,5.333333333333333,-5617604998408386434,3000735113951518647,0.02037037037037036,0.3045267489711934
10,3,4.666666666666667,-2580105511230670875,-5671212118208216656,3.7037037037036797E-4,0.0823045267489712
11,3,2.3333333333333335,-2667486105195054517,-1203264200981239577,-0.009907407407407419,0.4279835390946502
12,3,3.3333333333333335,1464519540864713059,-1342975680896576898,0.009166666666666662,0.1111111111111111
13,3,3.6666666666666665,4580329666722018780,7633583313609887924,0.008240740740740738,0.12757201646090535
14,3,4.666666666666667,1331434713066747163,2916073516075125736,0.02092592592592592,0.1316872427983539
15,3,2.6666666666666665,-98693687425287393,5845332684040383714,9.25925925925917E-4,0.5761316872427984
16,3,3.3333333333333335,-272842751338084797,5872432995371219385,-0.022962962962962963,0.0823045267489712
17,3,13.666666666666666,8759335333482589168,4341468293307696080,NaN,0.008230452674897118
18,3,2.0,-5841426530208530300,6080080566309485755,-0.010833333333333334,0.07407407407407407
19,3,3.0,-6694363419484950029,-5229501694884957936,-0.0012962962962962995,0.1934156378600823
20,3,8.333333333333334,-3692554466320100368,-7956571393600875668,-0.001018518518518526,0.3292181069958848
21,3,6.0,1261163605720919459,911775351054434105,-0.00574074074074075,0.3168724279835391
22,3,3.3333333333333335,-6180516448598987725,9104494604360268273,0.010833333333333327,0.3703703703703704
23,3,4.0,-3785757993379167573,-228674030129460485,0.01416666666666667,0.3333333333333333
24,3,2.6666666666666665,2883228848343041800,-4442905035025656501,-0.0030555555555555614,0.5432098765432098
25,3,3.6666666666666665,1370411077403006324,-3554851162527267981,0.005648148148148148,0.3662551440329218
26,3,2.0,5786220188709912047,-854675858762785336,0.03203703703703703,0.6008230452674898
27,3,1.3333333333333333,-770718479953605122,1001687496713329599,-0.004907407407407417,0.3909465020576131
28,3,3.0,-7590127605899249892,7283640968570584251,0.0020370370370370295,0.4156378600823045
29,3,4.333333333333333,8594417731260363763,-4270354272277888555,0.022685185185185183,0.11522633744855966
