Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,3.0,615701874688213321,-5007400276311477838,0.020092592592592586,0.5390946502057613
1,3,1.0,-731920045149869278,5846099771256469497,0.011944444444444433,0.691358024691358
2,3,1.3333333333333333,1719911554806448974,3199580336204505392,0.03074074074074073,0.794238683127572
3,1,2.0,-3392775679021497287,3037866708443872839,0.03166666666666665,0.9259259259259259
4,1,2.0,7801297046502405985,2157617775262633003,0.06166666666666663,0.9259259259259259
5,2,7.5,7698224372445293057,-5829656049355129221,0.019999999999999983,0.7777777777777777
6,2,1.5,-2547339213636913147,-136227357419199939,0.02777777777777775,0.7839506172839505
7,3,1.6666666666666667,-1438240251348758041,1501143513731812521,0.002407407407407403,0.5720164609053497
8,2,3.5,-5486907429663553238,-9063102000978051779,0.011527777777777762,0.5061728395061729
9,3,1.6666666666666667,-5617604998408386434,3000735113951518647,0.017685185185185175,0.7818930041152262
10,2,3.0,-2580105511230670875,-5671212118208216656,0.02263888888888889,0.5308641975308642
11,4,2.5,-2667486105195054517,-1203264200981239577,0.03638888888888889,0.558641975308642
12,4,2.5,1464519540864713059,-1342975680896576898,0.01888888888888888,0.5308641975308642
13,2,1.5,4580329666722018780,7633583313609887924,0.01361111111111111,0.4135802469135802
14,1,2.0,1331434713066747163,2916073516075125736,0.035555555555555556,0.9012345679012346
15,2,2.5,-98693687425287393,5845332684040383714,0.020555555555555542,0.845679012345679
16,2,2.5,-272842751338084797,5872432995371219385,0.016527777777777777,0.1728395061728395
17,2,2.5,8759335333482589168,4341468293307696080,0.028055555555555552,0.5123456790123457
18,2,2.5,-5841426530208530300,6080080566309485755,0.029027777777777757,0.9506172839506173
19,3,1.6666666666666667,-6694363419484950029,-5229501694884957936,0.020925925925925928,0.7983539094650206
20,2,2.0,-3692554466320100368,-7956571393600875668,0.028611111111111105,0.7469135802469136
21,3,4.0,1261163605720919459,911775351054434105,-0.002870370370370369,0.25102880658436216
22,3,3.0,-6180516448598987725,9104494604360268273,0.024629629629629626,0.7325102880658436
23,4,2.0,-3785757993379167573,-228674030129460485,-0.0034722222222222246,0.3395061728395061
24,4,2.0,2883228848343041800,-4442905035025656501,0.023888888888888873,0.6697530864197531
25,1,2.0,1370411077403006324,-3554851162527267981,0.013611111111111107,0.9135802469135802
26,4,2.0,5786220188709912047,-854675858762785336,0.017847222222222212,0.9104938271604938
27,2,2.0,-770718479953605122,1001687496713329599,0.07597222222222222,0.8271604938271604
28,2,1.0,-7590127605899249892,7283640968570584251,0.03888888888888889,0.9197530864197531
29,1,2.0,8594417731260363763,-4270354272277888555,0.0647222222222222,0.7160493827160493
