Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3178.200000,3394053878439304766,-4709125666590644924,0.000000,0.000000
1,10,4735.300000,8031753614496833124,8524694965479837752,0.000000,0.000000
2,10,7441.600000,5749707386842579805,-1080808054858591862,0.000000,0.000000
3,10,2997.000000,-7108450670121493499,-6173171604700138283,0.000000,0.000000
4,10,6178.900000,4226493937843085135,4118024146015205462,0.000000,0.000000
5,10,6802.800000,-8718212088944526529,6384886276570705661,0.000000,0.000000
6,10,4527.000000,8613096305672968387,4714267896173556819,0.000000,0.000000
7,10,4419.400000,-1991451534383343133,-7833250438825797355,0.000000,0.000000
8,10,8490.200000,2798483654236051920,2772656731903708594,0.000000,0.000000
9,10,5155.900000,8909983974411608792,2947868464888805394,0.000000,0.000000
10,10,7109.000000,4286777641714463834,-1671940384844389299,0.000000,0.000000
11,10,2566.200000,-7431114949873425636,7499758332406672445,0.000000,0.000000
12,10,4936.800000,5999427699553298618,7351988492660922383,0.000000,0.000000
13,10,5178.900000,-3803985480541803767,-7364553517575509446,0.000000,0.000000
14,10,6317.700000,3151921647258940062,7498752524952474514,0.000000,0.000000
15,10,4283.700000,1223193723853012953,589102651432304710,0.000000,0.000000
16,10,3.800000,2637859300016226348,-2293246980618511095,0.055972,0.227160
17,10,4.600000,1336982290880962924,7090307376504040383,0.080972,0.327160
18,10,6030.400000,-5442790682629687443,-4315297922638474913,0.000000,0.000000
19,10,7381.700000,1028980390827288648,-7655903594230463767,0.000000,0.000000
20,10,5944.900000,6939512748233928168,-489550560723915360,0.000000,0.000000
21,10,5561.900000,2850581160160542688,-5155149602563524882,0.000000,0.000000
22,10,7322.900000,-3684115661748767091,-5106765539353851240,0.000000,0.000000
23,10,6412.500000,-8938752901239521000,3062116792702120486,0.000000,0.000000
24,10,4078.100000,4687652294793308629,5538490725010370233,0.000000,0.000000
25,10,5171.900000,-1251935215777009400,8386393818981783193,0.000000,0.000000
26,10,7036.600000,3993438426385288230,8588248674537855553,0.000000,0.000000
27,10,7379.900000,2234823566502373376,-2825911602729656127,0.000000,0.000000
28,10,5988.300000,-1229260075000547717,-9188395821513330277,0.000000,0.000000
29,10,5693.200000,-8106860695108836149,-4223695367652232557,0.000000,0.000000
