Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,11092.0,-3425471201373567303,,NaN,0.0
1,3,11767.666666666666,1743562681583911372,,NaN,0.0
2,3,11617.0,-634235512218672317,,NaN,0.0
3,3,11243.0,4573602390136615456,,NaN,0.0
4,3,10201.666666666666,7727698803468232671,,NaN,0.0
5,3,10593.666666666666,-8151956590085995169,,NaN,0.0
6,3,11800.666666666666,4691417812913528696,,NaN,0.0
7,3,11238.666666666666,-5915987352963998484,,NaN,0.0
8,3,11287.333333333334,3204884787806628041,,NaN,0.0
9,3,10621.0,-2499490633746700416,,NaN,0.0
10,3,11760.666666666666,554434583449688628,,NaN,0.0
11,3,11108.333333333334,812026012890471193,,NaN,0.0
12,3,11049.0,1572214956138942163,,NaN,0.0
13,3,11314.666666666666,-4617890066003731917,,NaN,0.0
14,3,11616.0,3272243409014419661,,NaN,0.0
15,3,11294.666666666666,8800155737183762485,,NaN,0.0
16,3,10745.666666666666,4279710531976008938,,NaN,0.0
17,3,11595.0,4989724967244058926,,NaN,0.0
18,3,10669.666666666666,-272284894795711640,,NaN,0.0
19,3,11089.333333333334,-6782860337630926656,,NaN,0.0
20,3,10515.666666666666,2047117919440783886,,NaN,0.0
21,3,11593.0,-8241111378268404644,,NaN,0.0
22,3,11239.0,166849603452392322,,NaN,0.0
23,3,10599.0,-8324528905749089105,,NaN,0.0
24,3,11406.0,-8038289136902963241,,NaN,0.0
25,3,11793.0,1834725618204263003,,NaN,0.0
26,3,11135.0,1978752409064106602,,NaN,0.0
27,3,11360.0,2458725145702904298,,NaN,0.0
28,3,10409.333333333334,6909921509347559661,,NaN,0.0
29,3,11828.0,-749047247320624385,,NaN,0.0
