Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,1,1.0,-3425471201373567303,7177535778225614788,-6.014233686391282E-4,0.49635036496350365
1,100,6317.52,1743562681583911372,-781818568782754099,NaN,0.0
2,100,6296.08,-634235512218672317,3194155211216160655,NaN,0.0
3,100,6315.32,4573602390136615456,-1335902610975299123,NaN,0.0
4,1,4.0,7727698803468232671,119000909339887623,0.00865381402652945,0.08029197080291971
5,100,6285.97,-8151956590085995169,3245733842183859371,NaN,0.0
6,1,6.0,4691417812913528696,7191747682744257549,0.001202846737278225,0.0072992700729927005
7,100,6320.43,-5915987352963998484,-8467330026394408832,NaN,0.0
8,100,6305.39,3204884787806628041,-903502959864294656,NaN,0.0
9,100,6318.34,-2499490633746700416,-4366844912177165754,NaN,0.0
10,100,6326.03,554434583449688628,-7467810419737853106,NaN,0.0
11,1,2.0,812026012890471193,1246514861840593288,0.011259981957298952,0.26277372262773724
12,100,6325.38,1572214956138942163,5086263882365239885,NaN,0.0
13,1,1.0,-4617890066003731917,-1004717538955411879,0.05840489157673161,0.5766423357664233
14,100,6307.48,3272243409014419661,-4957385309142928053,NaN,0.0
15,100,6309.56,8800155737183762485,-2554211610182268282,NaN,0.0
16,1,3.0,4279710531976008938,8304233450354982883,0.005513047545858528,0.11678832116788321
17,1,6.0,4989724967244058926,-6494771946813505010,0.003608540211834675,0.021897810218978103
18,100,6337.48,-272284894795711640,7590147765836682130,NaN,0.0
19,1,1.0,-6782860337630926656,7953121083345669842,-0.005178923452170111,0.49635036496350365
20,100,6302.8,2047117919440783886,-2197924531768925047,NaN,0.0
21,100,6319.75,-8241111378268404644,413972992964856712,NaN,0.0
22,100,6308.71,166849603452392322,-5931172331553974332,NaN,0.0
23,100,6332.43,-8324528905749089105,5832342346529665525,NaN,0.0
24,100,6292.07,-8038289136902963241,-379555028035371430,NaN,0.0
25,1,4.0,1834725618204263003,-6773208249322145701,-7.3507300611447E-4,0.051094890510948905
26,1,1.0,1978752409064106602,6552897303084397079,0.012162117010257616,0.5182481751824818
27,100,6309.28,2458725145702904298,7455220552471302703,NaN,0.0
28,100,6320.66,6909921509347559661,-8370391785603258553,NaN,0.0
29,1,6.0,-749047247320624385,-6043753371732244465,-0.0021718066089745735,0.014598540145985401
