Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,2.000000,-848824146934103081,,0.061225,0.371533
1,10,2.000000,-6800460159562124750,,0.060623,0.367883
2,10,2.000000,6021178273115038252,,0.059781,0.362774
3,10,2.000000,7173382546674830192,,0.059781,0.362774
4,10,2.000000,-5566646820681360877,,0.060263,0.365693
5,10,2.000000,-802984674417843455,,0.059421,0.360584
6,10,2.000000,729374036688956726,,0.060984,0.370073
7,10,2.000000,-6645438448803013788,,0.059902,0.363504
8,10,2.000000,-5440192332906263051,,0.060503,0.367153
9,10,2.000000,7372731295878355850,,0.060623,0.367883
10,10,2.000000,7559723218559569512,,0.061225,0.371533
11,10,2.000000,-2041798777798492300,,0.060503,0.367153
12,10,2.000000,8293878783455820708,,0.059060,0.358394
13,10,2.000000,748085726950485786,,0.060984,0.370073
14,10,2.000000,7052836122627795262,,0.060744,0.368613
15,10,2.000000,-6101070834089967730,,0.060623,0.367883
16,10,2.000000,26467550493372684,,0.059781,0.362774
17,10,2.000000,-1646561087397723551,,0.059902,0.363504
18,10,2.000000,-2817946956669719758,,0.060744,0.368613
19,10,2.000000,-1456660832465803451,,0.059661,0.362044
20,10,2.100000,6534098222959338076,,0.060142,0.364964
21,10,2.000000,8513711055398015987,,0.059902,0.363504
22,10,2.000000,-4606180441082329016,,0.061225,0.371533
23,10,2.000000,3804064954738234959,,0.060503,0.367153
24,10,2.000000,1073869873656737415,,0.060744,0.368613
25,10,2.000000,-3555603647260437303,,0.060383,0.366423
26,10,2.000000,-6852159932610050173,,0.060503,0.367153
27,10,2.000000,-8065512595186474747,,0.060984,0.370073
28,10,2.000000,335668764404659139,,0.060503,0.367153
29,10,2.000000,-8440963628104396611,,0.060744,0.368613
