Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,3.3333333333333335,4357829094847460194,-3210600379278361667,0.018176350696648733,0.2214111922141119
1,3,4.666666666666667,5516181237876660710,4827990684190659596,0.014189136511967215,0.10462287104622871
2,3,3.6666666666666665,-4031314496734744364,4327433481985827895,0.01314221435174357,0.11678832116788322
3,3,3.6666666666666665,8959970654835835282,4367225136546581255,0.011293394366667778,0.12408759124087591
4,3,3.3333333333333335,-2661287289439107155,9046677772518423255,0.016583692516734045,0.1654501216545012
5,3,4.0,1159523101284819932,-7908958083271603143,0.016193881074097586,0.11678832116788322
6,3,2.3333333333333335,6670945609416912068,-5425210667482774065,0.03229866238987827,0.2700729927007299
7,3,2.6666666666666665,-4122614407145035126,86986340959554534,0.035361466582021904,0.22384428223844285
8,3,3.3333333333333335,-6044811859908316477,3758891560439451355,0.013053114593426667,0.15328467153284672
9,3,2.6666666666666665,7001725640411585609,5661033613827796310,0.017452415160323878,0.2262773722627737
10,3,6.0,-1700739888433631511,8213414888722589643,0.0060921959749184185,0.046228710462287104
11,3,2.6666666666666665,2427429775464536343,8374972381569549563,0.035339191642442674,0.31630170316301703
12,3,2.3333333333333335,9178379743920317962,-4522441832505248961,0.010614008709501377,0.2773722627737226
13,3,2.0,7999397004433864933,-3273666817163421479,0.036775925245302786,0.3527980535279805
14,3,2.3333333333333335,8078511059438339547,7913936994070099377,0.029391782774789234,0.33576642335766427
15,3,2.6666666666666665,-8518841945953275785,-1774795687654489310,0.013932974706806107,0.1678832116788321
16,3,4.333333333333333,-8475379806200697236,7507382498209428153,0.02421285932261909,0.1654501216545012
17,3,4.333333333333333,7501792551306109071,-3824744509396018400,0.013454063505852744,0.15571776155717762
18,3,2.6666666666666665,7716343785971470324,7841240775633771147,0.026351253522224827,0.2895377128953771
19,3,2.0,7339507497671603017,4840285925513742423,0.024257409201777547,0.31386861313868614
20,3,2.0,3005304196960280788,6219258197786495939,0.022486551505229047,0.3309002433090024
21,3,2.3333333333333335,4782130383769119688,-2711577608914492438,0.017608339737378454,0.24574209245742093
22,3,3.3333333333333335,-6428938404581625898,-9175507654823744156,0.013855012418278816,0.15815085158150852
23,3,3.0,-8959364547529831406,424734069071629373,0.0135097508548008,0.25790754257907544
24,3,2.0,5141059719838914229,1728015794239644958,0.03677592524530277,0.3527980535279805
25,3,3.6666666666666665,-6479274561368607432,-991115509214425381,0.02028133248688563,0.15085158150851583
26,3,3.0,1334775086468059361,3715264945759628751,0.02003630815151414,0.1678832116788321
27,3,1.6666666666666667,-3606722459112462918,1548966928496905370,0.02038156971499214,0.40145985401459855
28,3,2.3333333333333335,-7047456612054664574,7427446477655953995,0.024023522336195674,0.2846715328467153
29,3,2.3333333333333335,166882554411530792,-3930003979754587139,0.019757871406773823,0.3236009732360097
