Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,2.900000,4357829094847460194,-3210600379278361667,0.037769,0.229197
1,10,2.700000,5516181237876660710,4827990684190659596,0.041137,0.249635
2,10,2.800000,-4031314496734744364,4327433481985827895,0.041017,0.248905
3,10,2.900000,8959970654835835282,4367225136546581255,0.039935,0.242336
4,10,2.700000,-2661287289439107155,9046677772518423255,0.043182,0.262044
5,10,2.800000,1159523101284819932,-7908958083271603143,0.037649,0.228467
6,10,2.900000,6670945609416912068,-5425210667482774065,0.040897,0.248175
7,10,2.800000,-4122614407145035126,86986340959554534,0.037529,0.227737
8,10,2.800000,-6044811859908316477,3758891560439451355,0.039093,0.237226
9,10,3.000000,7001725640411585609,5661033613827796310,0.035364,0.214599
10,10,2.800000,-1700739888433631511,8213414888722589643,0.040897,0.248175
11,10,2.900000,2427429775464536343,8374972381569549563,0.040175,0.243796
12,10,2.900000,9178379743920317962,-4522441832505248961,0.044626,0.270803
13,10,2.700000,7999397004433864933,-3273666817163421479,0.045588,0.276642
14,10,2.900000,8078511059438339547,7913936994070099377,0.039453,0.239416
15,10,2.600000,-8518841945953275785,-1774795687654489310,0.041979,0.254745
16,10,2.800000,-8475379806200697236,7507382498209428153,0.039093,0.237226
17,10,2.900000,7501792551306109071,-3824744509396018400,0.038010,0.230657
18,10,2.800000,7716343785971470324,7841240775633771147,0.041618,0.252555
19,10,2.900000,7339507497671603017,4840285925513742423,0.035123,0.213139
20,10,2.800000,3005304196960280788,6219258197786495939,0.043062,0.261314
21,10,2.800000,4782130383769119688,-2711577608914492438,0.042100,0.255474
22,10,2.800000,-6428938404581625898,-9175507654823744156,0.040656,0.246715
23,10,2.900000,-8959364547529831406,424734069071629373,0.040897,0.248175
24,10,2.800000,5141059719838914229,1728015794239644958,0.045708,0.277372
25,10,2.800000,-6479274561368607432,-991115509214425381,0.036446,0.221168
26,10,2.800000,1334775086468059361,3715264945759628751,0.041258,0.250365
27,10,2.800000,-3606722459112462918,1548966928496905370,0.040416,0.245255
28,10,2.800000,-7047456612054664574,7427446477655953995,0.039213,0.237956
29,10,2.600000,166882554411530792,-3930003979754587139,0.044265,0.268613
