Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,2,2.5,-764607245599853704,,-0.007501085903304491,0.13503649635036497
1,1,1.0,5111453366768774048,,0.01673961709378865,0.5182481751824818
2,1,6.0,3359259998313017475,,0.003608540211834675,0.021897810218978103
3,1,9.0,-5928949112178889842,,0.001202846737278225,0.0072992700729927005
4,2,5.5,4675238974331144465,,0.004928330381903839,0.043795620437956206
5,3,6.666666666666667,3859345984534479686,,0.001202846737278225,0.007299270072992701
6,1,2.0,6184398762136254953,,0.00715025560493166,0.32116788321167883
7,1,1.0,-887804515442511457,,0.02830031073540711,0.5328467153284672
8,3,3.6666666666666665,-8415111773519823936,,-0.001960194682971919,0.13625304136253044
9,1,1.0,-2084720021552083391,,0.03528350429349458,0.5474452554744526
10,1,5.0,3600937033234615502,,-9.689598716963478E-4,0.021897810218978103
11,1,1.0,-6225320481379975337,,0.01673961709378865,0.5182481751824818
12,2,1.5,4011777075179716510,,0.008586989207791764,0.35766423357664234
13,2,4.0,7534942132541200003,,0.0019045073340238582,0.0948905109489051
14,1,2.0,-6217076217428057307,,0.027398175682448463,0.2773722627737226
15,2,3.5,-2448649402569979630,,0.0016539142637575542,0.13503649635036497
16,3,3.0,5662933621815334934,,-0.003809014668047714,0.1435523114355231
17,1,2.0,8541011368592357232,,0.020648868989942858,0.291970802919708
18,2,2.0,-4515436528458586252,,0.0035417153930970098,0.29927007299270075
19,1,2.0,-8382441172151748642,,0.03100671589428313,0.29927007299270075
20,100,313.09,-8085045675946283416,,NaN,0.0
21,1,2.0,-7502113040355977119,,0.030772829028701272,0.27007299270072993
22,2,7.0,-4960140514305592492,,1.1694343279093861E-4,0.014598540145985401
23,1,1.0,-3154011089323734019,,0.01095927027297939,0.5109489051094891
24,1,1.0,-1228634843133855705,,0.034080657556216365,0.5401459854014599
25,2,3.5,8344551748097881891,,-0.010257609676233752,0.07664233576642336
26,3,3.3333333333333335,8799807429452078578,,-0.015937719268936484,0.15328467153284672
27,1,1.0,8967048287257792359,,0.01095927027297939,0.5109489051094891
28,1,1.0,-2049716329279935045,,0.022519963914597905,0.5255474452554745
29,2,2.5,5751975750497927797,,0.0030739416619332467,0.2408759124087591
