Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,3.6666666666666665,976340229801220493,-6645195634224055921,2.6729927495072373E-4,0.22384428223844285
1,3,2.0,-7910174600741877041,-1826543674551077437,4.7891120095335606E-4,0.3454987834549878
2,3,3.3333333333333335,-986803214068069614,3070473492586687027,-0.005078686224063616,0.08029197080291971
3,3,4.333333333333333,-5185477647917593678,-1111305404913339007,-0.0029068796150890446,0.0656934306569343
4,3,2.6666666666666665,1460570171212168923,2953302459731026676,0.004744562130375216,0.30656934306569344
5,3,4.0,-7550282398100885007,5590341096169128848,0.012808090258055176,0.170316301703163
6,3,3.0,594727344823564867,2676569070171238257,0.008987938120217847,0.36009732360097324
7,3,2.3333333333333335,6535692512511528692,4195411412337972173,9.021350529586832E-4,0.5888077858880779
8,3,3.0,-8118647211626895026,3529749271225437257,0.007172530544510909,0.5620437956204379
9,3,5.666666666666667,-5943115126710776622,-4309080738527851900,0.00463318743247909,0.1021897810218978
10,3,2.6666666666666665,7354758028696582856,4955385334122564868,0.01673961709378865,0.5182481751824818
11,3,2.6666666666666665,-1644366302335475432,6295609208121257712,0.008720638845267152,0.46958637469586373
12,3,3.0,1434871719750048430,2828176623216163892,-0.0017819951663381104,0.0632603406326034
13,3,4.333333333333333,-5914735472903460920,-9034512706359606782,0.004577500083531013,0.3333333333333333
14,3,2.6666666666666665,1469584125830491853,-5741639504451708457,0.011427044004143136,0.5693430656934307
15,3,2.0,-8204811084149069148,365736598790012257,-0.0016483455288627284,0.5085158150851582
16,3,4.666666666666667,-159625262583219799,8985087791877823487,0.009611636428436187,0.10462287104622871
17,3,2.0,1986887483683313836,-8665280936538865998,0.00853130185884371,0.5888077858880778
18,3,1.6666666666666667,-2008040158371412065,-1417401272712686156,0.007695991624622728,0.389294403892944
19,3,2.3333333333333335,-6867290789522542108,5224382229132059417,0.002004744562130366,0.3454987834549878
20,3,1.6666666666666667,-8988953479736964531,-5920247411456120807,-0.010758795816766325,0.656934306569343
21,3,1.6666666666666667,-5466133510888592551,-6465813851430267138,0.007651441745464255,0.5742092457420924
22,3,2.0,-3917271009425799631,-4175977774407147060,0.0021718066089745787,0.31873479318734793
23,3,1.6666666666666667,305668928598953830,-4255621452356395501,0.002205219018343403,0.51338199513382
24,3,3.6666666666666665,4078504486488274576,5150878816852799634,0.011282256896878173,0.5036496350364964
25,3,3.3333333333333335,-5839132642987942349,509419133980743574,9.912348112755738E-4,0.218978102189781
26,3,3.0,7964399402310126488,1241527279684733236,0.012251216768574503,0.48175182481751827
27,3,2.3333333333333335,303018294381507198,-7148707451629714733,-0.00863153908695022,0.16058394160583941
28,3,2.0,-4175036774578788664,7657754789486963107,0.0069052312695601975,0.3381995133819951
29,3,3.6666666666666665,1047922224785075869,-1121716226742253588,0.00902135052958667,0.5547445255474454
