Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,1,3.0,976340229801220493,,-0.017107153596845868,0.0072992700729927005
1,1,2.0,-7910174600741877041,,-0.004610912492899861,0.1386861313868613
2,1,3.0,-986803214068069614,,0.006248120551973004,0.06569343065693431
3,1,2.0,-5185477647917593678,,0.010057135220020726,0.25547445255474455
4,1,3.0,1460570171212168923,,-0.004477262855424507,0.583941605839416
5,100,629.08,-7550282398100885007,,NaN,0.0
6,100,630.18,594727344823564867,,NaN,0.0
7,100,625.58,6535692512511528692,,NaN,0.0
8,100,629.46,-8118647211626895026,,NaN,0.0
9,100,630.02,-5943115126710776622,,NaN,0.0
10,1,1.0,7354758028696582856,,0.013532025794379994,0.8321167883211679
11,100,632.57,-1644366302335475432,,NaN,0.0
12,1,2.0,1434871719750048430,,-0.007952153429783821,0.0072992700729927005
13,1,3.0,-5914735472903460920,,0.005847171639546965,0.7299270072992701
14,100,633.11,1469584125830491853,,NaN,0.0
15,100,629.34,-8204811084149069148,,NaN,0.0
16,100,632.82,-159625262583219799,,NaN,0.0
17,1,1.0,1986887483683313836,,-0.008687226435898294,0.058394160583941604
18,1,1.0,-2008040158371412065,,-0.009622773898225759,0.9416058394160584
19,1,8.0,-6867290789522542108,,0.001202846737278225,0.0072992700729927005
20,100,633.56,-8988953479736964531,,NaN,0.0
21,100,629.35,-5466133510888592551,,NaN,0.0
22,100,625.71,-3917271009425799631,,NaN,0.0
23,100,633.58,305668928598953830,,NaN,0.0
24,1,1.0,4078504486488274576,,-0.0034080657556216304,0.145985401459854
25,100,623.67,-5839132642987942349,,NaN,0.0
26,1,3.0,7964399402310126488,,0.0014367336028601036,0.0364963503649635
27,100,625.71,303018294381507198,,NaN,0.0
28,1,8.0,-4175036774578788664,,0.00407631394299843,0.08029197080291971
29,1,2.0,1047922224785075869,,0.009188412576430894,0.8613138686131386
