Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,2.800000,976340229801220493,,0.033920,0.205839
1,10,7.300000,-7910174600741877041,,0.105851,0.642336
2,10,2.500000,-986803214068069614,,0.034762,0.210949
3,10,3.000000,-5185477647917593678,,0.038491,0.233577
4,10,3.000000,1460570171212168923,,0.036326,0.220438
5,10,3.400000,-7550282398100885007,,0.038972,0.236496
6,10,3.600000,594727344823564867,,0.039694,0.240876
7,10,2.600000,6535692512511528692,,0.036927,0.224088
8,10,5.200000,-8118647211626895026,,0.043784,0.265693
9,10,2.700000,-5943115126710776622,,0.038972,0.236496
10,10,2.800000,7354758028696582856,,0.037529,0.227737
11,10,2.900000,-1644366302335475432,,0.033800,0.205109
12,10,3.100000,1434871719750048430,,0.037288,0.226277
13,10,3.000000,-5914735472903460920,,0.045635,0.282482
14,10,3.200000,1469584125830491853,,0.038852,0.235766
15,10,3.800000,-8204811084149069148,,0.043904,0.266423
16,10,2.600000,-159625262583219799,,0.038732,0.235036
17,10,2.900000,1986887483683313836,,0.031996,0.194161
18,10,3.000000,-2008040158371412065,,0.037288,0.226277
19,10,3.900000,-6867290789522542108,,0.038972,0.236496
20,10,2.600000,-8988953479736964531,,0.037769,0.229197
21,10,3.200000,-5466133510888592551,,0.039814,0.241606
22,10,3.000000,-3917271009425799631,,0.038972,0.236496
23,10,4.400000,305668928598953830,,0.043663,0.264964
24,10,3.600000,4078504486488274576,,0.038852,0.235766
25,10,2.800000,-5839132642987942349,,0.032838,0.199270
26,10,2.600000,7964399402310126488,,0.035123,0.213139
27,10,3.200000,303018294381507198,,0.037890,0.229927
28,10,3.000000,-4175036774578788664,,0.038251,0.232117
29,10,3.000000,1047922224785075869,,0.043326,0.265693
