Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,1625.6666666666667,-7043758742217982857,,NaN,0.0
1,3,1697.3333333333333,8707954276765923475,,NaN,0.0
2,3,1667.0,4662079647706855674,,NaN,0.0
3,3,1750.3333333333333,-4802810422631167565,,NaN,0.0
4,3,1585.0,3996895840604163169,,NaN,0.0
5,3,1674.0,7248772592320880373,,NaN,0.0
6,3,1691.0,-583284472280717930,,NaN,0.0
7,3,1717.0,5450613601987745598,,NaN,0.0
8,3,1631.6666666666667,2465215686545525737,,NaN,0.0
9,3,1566.6666666666667,-5925965430943097785,,NaN,0.0
10,3,1715.3333333333333,4073465034293261895,,NaN,0.0
11,3,1717.0,5500982552707870460,,NaN,0.0
12,3,1666.0,-8087152709295267412,,NaN,0.0
13,3,1648.0,2463345219707692294,,NaN,0.0
14,3,1627.6666666666667,-1573151565400991018,,NaN,0.0
15,3,1747.3333333333333,6575360535712148390,,NaN,0.0
16,3,1771.6666666666667,8545452842038112058,,NaN,0.0
17,3,1594.6666666666667,4559753183287092164,,NaN,0.0
18,3,1733.0,-7717894359530931909,,NaN,0.0
19,3,1627.3333333333333,-340603513212638393,,NaN,0.0
20,3,1687.0,7203957500691921817,,NaN,0.0
21,3,1623.0,-7368748405856802905,,NaN,0.0
22,3,1659.6666666666667,7591611675976974375,,NaN,0.0
23,3,1572.3333333333333,-8780158238612052545,,NaN,0.0
24,3,1692.3333333333333,-9186212156855358016,,NaN,0.0
25,3,1651.6666666666667,1412406304787882727,,NaN,0.0
26,3,1632.6666666666667,2476015689387133307,,NaN,0.0
27,3,1650.0,3685151638898250562,,NaN,0.0
28,3,1701.3333333333333,3374496202386331421,,NaN,0.0
29,3,1618.6666666666667,-4440044104520074924,,NaN,0.0
