Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3.000000,-6895219797396898833,6833853021077970648,0.038371,0.232847
1,10,3.400000,-2439865181434825251,-1160107574958418559,0.023816,0.144526
2,10,4.900000,4528284861330017334,6143449298173083340,0.045227,0.274453
3,10,2.700000,1013285973707035652,2645836815087893980,0.022781,0.143796
4,10,4.700000,-4729146553861747838,-7869315339443403973,0.041258,0.250365
5,10,3.100000,5562513768199387066,-7055230652331468534,0.041859,0.254015
6,10,3.800000,-8463131996988494541,1754853268653281259,0.032357,0.196350
7,10,2.300000,7477091039883941444,-6514839043725914429,0.021531,0.130657
8,10,7.200000,-790856875369815867,-6393550795756033397,0.061826,0.375182
9,10,3.700000,6020670674264688179,-2859141824270327618,0.030432,0.184672
10,10,3.100000,-4983436621260657530,86894984634672685,0.039333,0.238686
11,10,4.300000,-2406113371410203838,-6496777721688242878,0.037769,0.229197
12,10,3.700000,-7340705491214155889,-7369619079659548172,0.029109,0.176642
13,10,2.300000,1419118055872195425,2097316877486331644,0.026533,0.169343
14,10,3.800000,2646598452483731185,-6816046983789797620,0.033847,0.210949
15,10,3.600000,7011918472739402001,4288643670234197523,0.029951,0.181752
16,10,3.600000,-1077278908878826963,4418155890425065946,0.026172,0.167153
17,10,3.500000,350260433727389426,6309553669107463801,0.024057,0.145985
18,10,3.200000,-7287463681966361878,8104815271774048884,0.046430,0.281752
19,10,4.500000,-7642088361817229158,4449194421920290692,0.038371,0.232847
20,10,3.200000,-1247910409008020511,-1166743603966578605,0.032357,0.196350
21,10,3.800000,287572099374122151,-4830407280247439172,0.022493,0.136496
22,10,4.200000,-2629834617548713189,5179665704480943431,0.030913,0.187591
23,10,5.000000,4965133179233823767,2748223428821053430,0.027833,0.174453
24,10,4.200000,-1945569270191117474,7466522121704088490,0.028628,0.173723
25,10,4.000000,1454036945152318166,4861615713085818017,0.033319,0.202190
26,10,4.000000,5987428334314477796,-8127019799619380264,0.035364,0.214599
27,10,4.200000,-2783748683795294824,-8876020750232308641,0.044144,0.267883
28,10,3.000000,1181930832955655502,-7492331706439080738,0.029349,0.178102
29,10,3.400000,7002618409147988200,3632474682775057623,0.028507,0.172993
