Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,3.6666666666666665,-2091781416315349196,2009131599376394931,0.0036419526212035174,0.2165450121654501
1,1,2.0,-8521239748196121270,-5062402545521630803,0.012563065922683646,0.8540145985401459
2,2,1.5,-7566401908741690337,-7252125241289603533,0.020866049650840334,0.8905109489051095
3,1,2.0,-89773468390580512,1233806087779548067,0.007885328611046134,0.27007299270072993
4,3,2.3333333333333335,-8256524777413992071,-8961734915162739938,0.01245169122478756,0.6496350364963503
5,2,2.0,3328494796473223585,6055639455690432392,-0.0031908850947241782,0.24452554744525548
6,1,4.0,2612882295546988440,-5530452328170460038,0.017040328778108182,0.27007299270072993
7,2,1.0,-5163372958789919374,-4720881000921804180,0.0034915967790437184,0.5072992700729927
8,1,2.0,3385433343347530987,-5728052298528108653,0.017842226602960386,0.9416058394160584
9,2,3.0,-3847339608244300013,1755659108968164426,0.008286277523472219,0.10583941605839416
10,2,2.0,-4101125305519763887,-8824933875414801652,0.0013364963747535684,0.45255474452554745
11,1,5.0,819175930059211411,-6143988978685274314,0.021049817902368914,0.6277372262773723
12,1,5.0,217785903735433383,-3094566579830246602,0.005379397908383207,0.6715328467153284
13,1,4.0,4042834825420675334,6289487539683233234,0.027364763273079625,0.41605839416058393
14,2,1.5,3616132071585107875,430569481588912036,0.01092585786361053,0.6496350364963503
15,2,4.5,1590451393687422326,-730080016039260922,-0.0019379197433926965,0.043795620437956206
16,1,5.0,5363121094897192416,-3768014177474210306,0.02044839453372983,0.12408759124087591
17,1,4.0,7895803878238913815,-2642318853064708881,0.02659627785759629,0.6058394160583942
18,3,2.3333333333333335,-3647089645581086152,1105819833821738517,-9.80097341485961E-4,0.0681265206812652
19,2,1.0,-4442192648761502019,5676534778742773015,-0.0013030839653847305,0.40875912408759124
20,2,3.0,-5767197059687895463,5448226830076404536,2.1718066089745474E-4,0.09854014598540145
21,1,2.0,4681259504429559186,-2652893049701515289,0.004176551171104979,0.6642335766423357
22,3,6.333333333333333,9171473416695245458,3027956314915481285,-0.0011917092674885983,0.2798053527980535
23,4,3.75,1581655030637107971,210171898585629017,-0.008152627885996858,0.08941605839416059
24,2,2.5,-4468010979168714002,-7146463242709170174,0.006515419826923708,0.45620437956204385
25,2,4.0,-4063388110868880390,5603863631075198193,-0.005646697183333889,0.437956204379562
26,1,2.0,3878992242685108611,-5398068437603615443,0.01760833973737846,0.9124087591240876
27,2,1.5,-6092926502412241582,-1688339251824576787,-4.8447993584816416E-4,0.5109489051094891
28,1,5.0,3844331254771067403,1845212370632661457,0.012028467372782252,0.072992700729927
29,1,3.0,-6615776650209891449,-3766968229810156357,0.00865381402652945,0.08029197080291971
