Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,100,6295.73,-3425471201373567303,,NaN,0.0
1,100,6296.34,1743562681583911372,,NaN,0.0
2,100,6296.51,-634235512218672317,,NaN,0.0
3,100,6313.52,4573602390136615456,,NaN,0.0
4,100,6316.82,7727698803468232671,,NaN,0.0
5,100,6310.29,-8151956590085995169,,NaN,0.0
6,100,6314.97,4691417812913528696,,NaN,0.0
7,1,3.0,-5915987352963998484,,0.0213807232049948,0.24050632911392406
8,100,6298.77,3204884787806628041,,NaN,0.0
9,100,6310.7,-2499490633746700416,,NaN,0.0
10,100,6326.28,554434583449688628,,NaN,0.0
11,100,6329.92,812026012890471193,,NaN,0.0
12,100,6331.51,1572214956138942163,,NaN,0.0
13,100,6298.75,-4617890066003731917,,NaN,0.0
14,100,6321.65,3272243409014419661,,NaN,0.0
15,100,6315.98,8800155737183762485,,NaN,0.0
16,100,6321.93,4279710531976008938,,NaN,0.0
17,100,6309.73,4989724967244058926,,NaN,0.0
18,1,1.0,-272284894795711640,,-0.010080645161290314,0.46835443037974683
19,100,6305.87,-6782860337630926656,,NaN,0.0
20,100,6314.64,2047117919440783886,,NaN,0.0
21,100,6333.2,-8241111378268404644,,NaN,0.0
22,100,6319.73,166849603452392322,,NaN,0.0
23,100,6313.75,-8324528905749089105,,NaN,0.0
24,1,2.0,-8038289136902963241,,0.026128381893860558,0.3037974683544304
25,100,6320.03,1834725618204263003,,NaN,0.0
26,100,6328.3,1978752409064106602,,NaN,0.0
27,100,6301.74,2458725145702904298,,NaN,0.0
28,100,6336.22,6909921509347559661,,NaN,0.0
29,100,6321.8,-749047247320624385,,NaN,0.0
