Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,4.700000,-3425471201373567303,7177535778225614788,0.108538,0.500000
1,10,4.200000,1743562681583911372,-781818568782754099,0.085456,0.393671
2,10,3.500000,-634235512218672317,3194155211216160655,0.161570,0.744304
3,10,410.500000,4573602390136615456,-1335902610975299123,0.000000,0.000000
4,10,4.200000,7727698803468232671,119000909339887623,0.071168,0.327848
5,10,3.800000,-8151956590085995169,3245733842183859371,0.121452,0.559494
6,10,4.000000,4691417812913528696,7191747682744257549,0.123925,0.570886
7,10,267.000000,-5915987352963998484,-8467330026394408832,0.000000,0.000000
8,10,4.400000,3204884787806628041,-903502959864294656,0.073916,0.340506
9,10,5.100000,-2499490633746700416,-4366844912177165754,0.031874,0.146835
10,10,3.900000,554434583449688628,-7467810419737853106,0.127497,0.587342
11,10,4.400000,812026012890471193,1246514861840593288,0.057704,0.265823
12,10,4.100000,1572214956138942163,5086263882365239885,0.102767,0.473418
13,10,4.100000,-4617890066003731917,-1004717538955411879,0.089578,0.412658
14,10,4.100000,3272243409014419661,-4957385309142928053,0.076663,0.353165
15,10,4.400000,8800155737183762485,-2554211610182268282,0.154975,0.713924
16,10,4.700000,4279710531976008938,8304233450354982883,0.068566,0.316456
17,10,3.900000,4989724967244058926,-6494771946813505010,0.144534,0.665823
18,10,4.000000,-272284894795711640,7590147765836682130,0.086555,0.398734
19,10,3.900000,-6782860337630926656,7953121083345669842,0.131070,0.603797
20,10,434.600000,2047117919440783886,-2197924531768925047,0.000000,0.000000
21,10,5.100000,-8241111378268404644,413972992964856712,0.070343,0.324051
22,10,4.100000,166849603452392322,-5931172331553974332,0.106889,0.492405
23,10,3.900000,-8324528905749089105,5832342346529665525,0.121452,0.559494
24,10,4.500000,-8038289136902963241,-379555028035371430,0.096722,0.445570
25,10,4.100000,1834725618204263003,-6773208249322145701,0.117331,0.540506
26,10,4.100000,1978752409064106602,6552897303084397079,0.091776,0.422785
27,10,4.000000,2458725145702904298,7455220552471302703,0.145908,0.672152
28,10,5.200000,6909921509347559661,-8370391785603258553,0.075289,0.346835
29,10,4.900000,-749047247320624385,-6043753371732244465,0.074740,0.344304
