Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,1127.3333333333333,-848824146934103081,,NaN,0.0
1,3,1119.6666666666667,-6800460159562124750,,NaN,0.0
2,3,1092.3333333333333,6021178273115038252,,NaN,0.0
3,3,1084.6666666666667,7173382546674830192,,NaN,0.0
4,3,1112.3333333333333,-5566646820681360877,,NaN,0.0
5,3,1101.0,-802984674417843455,,NaN,0.0
6,3,1053.6666666666667,729374036688956726,,NaN,0.0
7,3,1110.6666666666667,-6645438448803013788,,NaN,0.0
8,3,1066.0,-5440192332906263051,,NaN,0.0
9,3,1084.3333333333333,7372731295878355850,,NaN,0.0
10,3,1144.0,7559723218559569512,,NaN,0.0
11,3,1096.3333333333333,-2041798777798492300,,NaN,0.0
12,3,1134.3333333333333,8293878783455820708,,NaN,0.0
13,3,1086.6666666666667,748085726950485786,,NaN,0.0
14,3,1061.3333333333333,7052836122627795262,,NaN,0.0
15,3,1104.0,-6101070834089967730,,NaN,0.0
16,3,1142.6666666666667,26467550493372684,,NaN,0.0
17,3,1132.0,-1646561087397723551,,NaN,0.0
18,3,1131.6666666666667,-2817946956669719758,,NaN,0.0
19,3,1124.6666666666667,-1456660832465803451,,NaN,0.0
20,3,1129.0,6534098222959338076,,NaN,0.0
21,3,1046.0,8513711055398015987,,NaN,0.0
22,3,1179.6666666666667,-4606180441082329016,,NaN,0.0
23,3,1063.0,3804064954738234959,,NaN,0.0
24,3,1087.3333333333333,1073869873656737415,,NaN,0.0
25,3,1128.3333333333333,-3555603647260437303,,NaN,0.0
26,3,1105.0,-6852159932610050173,,NaN,0.0
27,3,1161.0,-8065512595186474747,,NaN,0.0
28,3,1091.6666666666667,335668764404659139,,NaN,0.0
29,3,1146.0,-8440963628104396611,,NaN,0.0
