Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,4.100000,-848824146934103081,,0.168439,0.775949
1,10,4.000000,-6800460159562124750,,0.170363,0.784810
2,10,4.000000,6021178273115038252,,0.169813,0.782278
3,10,4.000000,7173382546674830192,,0.168989,0.778481
4,10,4.100000,-5566646820681360877,,0.169264,0.779747
5,10,4.100000,-802984674417843455,,0.169539,0.781013
6,10,3.900000,729374036688956726,,0.168989,0.778481
7,10,3.900000,-6645438448803013788,,0.168989,0.778481
8,10,4.000000,-5440192332906263051,,0.169539,0.781013
9,10,3.900000,7372731295878355850,,0.167340,0.770886
10,10,4.100000,7559723218559569512,,0.169539,0.781013
11,10,4.100000,-2041798777798492300,,0.168989,0.778481
12,10,3.900000,8293878783455820708,,0.168439,0.775949
13,10,4.000000,748085726950485786,,0.170088,0.783544
14,10,3.900000,7052836122627795262,,0.169539,0.781013
15,10,3.900000,-6101070834089967730,,0.168989,0.778481
16,10,3.900000,26467550493372684,,0.168989,0.778481
17,10,4.100000,-1646561087397723551,,0.169539,0.781013
18,10,3.900000,-2817946956669719758,,0.168989,0.778481
19,10,4.200000,-1456660832465803451,,0.169539,0.781013
20,10,4.100000,6534098222959338076,,0.170363,0.784810
21,10,3.800000,8513711055398015987,,0.167615,0.772152
22,10,4.100000,-4606180441082329016,,0.170363,0.784810
23,10,4.000000,3804064954738234959,,0.170363,0.784810
24,10,4.000000,1073869873656737415,,0.168439,0.775949
25,10,4.100000,-3555603647260437303,,0.170363,0.784810
26,10,4.200000,-6852159932610050173,,0.170363,0.784810
27,10,3.900000,-8065512595186474747,,0.170088,0.783544
28,10,3.800000,335668764404659139,,0.168439,0.775949
29,10,3.800000,-8440963628104396611,,0.167890,0.773418
