Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,108.33333333333333,-7240348996590834719,-649113631171056374,NaN,0.02531645569620253
1,3,62.333333333333336,-5311242831059256485,1682225389562509045,NaN,0.03375527426160337
2,3,3.0,7133267839299909563,-4714089382138231667,9.213492889351377E-4,0.15611814345991562
3,3,244.33333333333334,-4879770653013578426,1743514892481875523,NaN,0.004219409282700422
4,3,638.3333333333334,-7978032600194138122,-8506708352716241413,NaN,0.0
5,3,5.666666666666667,-1706805836430481502,-7372439630335149007,0.01226478494623656,0.08016877637130801
6,3,5.0,5597175164159858910,-1314549486717729523,0.0011110388484217833,0.13924050632911392
7,3,7.666666666666667,2308274237443303783,-5703765998237526107,0.0010351630246271245,0.012658227848101266
8,3,5.0,5796021815880667158,-2356988597793317118,-9.59287200832464E-4,0.11392405063291139
9,3,4.666666666666667,-7872638020691053655,565554973646066603,1.1381373569198962E-4,0.189873417721519
10,3,186.66666666666666,5196582072723136751,6717808245086897587,NaN,0.012658227848101266
11,3,5.333333333333333,5181566153864349709,7730761719789769388,-0.01264958376690947,0.1350210970464135
12,3,52.666666666666664,-911983138636948996,-8679575302985472027,NaN,0.016877637130801686
13,3,174.0,-9160245594678502793,-5529414032359982882,NaN,0.021097046413502112
14,3,3.0,6924204159067555813,-7020763375801496866,0.029103798126951092,0.3628691983122363
15,3,407.6666666666667,8365669357447244296,9211909089472819710,NaN,0.0
16,3,4.666666666666667,3419465013329475963,-1908794857114883782,-6.883021158515436E-4,0.042194092827004225
17,3,606.0,-434629981971614393,1577154286954618429,NaN,0.0
18,3,143.0,8854165114489647373,-4393947972621587714,NaN,0.004219409282700422
19,3,246.33333333333334,2032032855639653789,-4201345819965007241,NaN,0.0759493670886076
20,3,109.0,7228670512627652345,-1408616201096164627,NaN,0.0
21,3,5.0,4632759219560893958,835278123915073450,0.004926508844953175,0.0759493670886076
22,3,9.666666666666666,8634985996155453829,-8263107857487659750,9.755463059313215E-4,0.008438818565400843
23,3,53.0,5238685447327365381,8416925500042982821,NaN,0.11392405063291139
24,3,60.333333333333336,-5112783292783499793,8488022209096854206,NaN,0.016877637130801686
25,3,56.333333333333336,8558643142744130008,-1437595776588704513,NaN,0.008438818565400843
26,3,101.66666666666667,-8353632230263879998,-8140556884229400757,NaN,0.1940928270042194
27,3,7.666666666666667,-4193303632596949779,-7349375526157249462,-7.966961498439125E-4,0.004219409282700422
28,3,5.666666666666667,1007458335645561706,7919329704551105216,4.76933749566424E-4,0.03375527426160338
29,3,120.66666666666667,-7073872138731293804,-969701899926180727,NaN,0.07172995780590717
