Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,5,8.8,-431687840736368495,-5413206137393354739,0.002601456815816857,0.11139240506329111
1,3,3.3333333333333335,-4217214785401613326,-8368094074307124525,-0.008666103017689905,0.11392405063291139
2,6,7.333333333333333,4719984949727971368,-7412305854540729052,-0.0033981529656607703,0.09282700421940927
3,1,1.0,-37738182846372392,7036565899725828141,0.022177419354838718,0.569620253164557
4,1,2.0,-7581346102043770702,6238557225044975378,0.049752861602497395,0.43037974683544306
5,1,1.0,8201918440108405914,-3881775785485145146,0.050403225806451624,0.6582278481012658
6,1,1.0,-4235197539150920809,-4530875699600935078,0.026209677419354843,0.5822784810126582
7,2,2.5,8550769173833875090,-984133934533599420,0.011747203433922992,0.24050632911392406
8,1,2.0,8831275599891947047,-6339647962973398924,0.025380463059313223,0.34177215189873417
9,1,3.0,1813991093555504661,6848611956661955121,0.04175338189386056,0.22784810126582278
10,1,4.0,8877039495818675475,2613292196263835144,0.012991024973985433,0.10126582278481013
11,2,3.0,7458296124606770188,1676119937319726938,0.01534859521331946,0.17721518987341772
12,2,2.0,4450666840951694110,5316661091969334360,-0.021201873048907388,0.2721518987341772
13,1,3.0,2755557405874651075,-4217328012463504550,0.02651860041623309,0.24050632911392406
14,2,2.0,5619561175235305235,8901201980208378621,0.012893470343392298,0.3670886075949367
15,1,1.0,-7028237669830264831,455968058747580529,0.058467741935483875,0.6835443037974683
16,2,3.0,2576879553012763897,-5590693021192923435,0.01603147762747139,0.31645569620253167
17,4,7.0,-2942635254356194985,-1545976667944623207,-5.32485691987514E-4,0.0759493670886076
18,2,1.5,5786859084948307589,-1286852611707183301,0.004633844953173777,0.37341772151898733
19,1,1.0,-2758416753212600899,972236851567564507,0.022177419354838718,0.569620253164557
20,1,1.0,4024271205979940559,4188372705781424761,0.034274193548387094,0.6075949367088608
21,1,2.0,4165336601527464282,-5103614562677322530,0.0063247918834547345,0.26582278481012656
22,2,2.0,9180961204476577096,-6366226953457349254,0.013714555150884503,0.379746835443038
23,2,3.5,8184737830447503522,3836795189548511680,-0.009576612903225805,0.09493670886075949
24,1,2.0,-2021727724340311061,1568037863796318915,0.014389308012486989,0.2911392405063291
25,2,4.0,6179611165656159142,5150017446982366504,0.005072840790842871,0.17721518987341772
26,2,2.0,2172688933844939955,-2943471427565947740,0.008592937044745053,0.33544303797468356
27,3,3.0,-1149764589101141338,-945060930945076837,-0.00533298647242456,0.19831223628691982
28,2,4.0,-8218355022469219764,4823547319797321386,0.008763657648283038,0.12025316455696203
29,3,6.333333333333333,1469930637003476971,-1849593743238367985,-0.003804630593132153,0.03375527426160337
