Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,2,2.0,976340229801220493,-6645195634224055921,0.035119667013527575,0.8037974683544303
1,2,2.0,-7910174600741877041,-1826543674551077437,0.03291655827263268,0.5569620253164557
2,2,2.0,-986803214068069614,3070473492586687027,0.026713709677419366,0.7088607594936709
3,3,2.3333333333333335,-5185477647917593678,-1111305404913339007,0.0378566163718349,0.3459915611814346
4,2,2.0,1460570171212168923,2953302459731026676,0.04153388397502601,0.5759493670886076
5,1,2.0,-7550282398100885007,5590341096169128848,0.07506828824141519,0.9493670886075949
6,2,1.0,594727344823564867,2676569070171238257,0.02070597034339229,0.8291139240506329
7,2,1.0,6535692512511528692,4195411412337972173,0.023909014047866814,0.6012658227848101
8,4,2.0,-8118647211626895026,3529749271225437257,0.015206328043704479,0.43987341772151894
9,1,1.0,-5943115126710776622,-4309080738527851900,0.07085718002081165,0.9240506329113924
10,3,2.3333333333333335,7354758028696582856,4955385334122564868,0.020112513007284078,0.3628691983122363
11,1,1.0,-1644366302335475432,6295609208121257712,0.04559053069719043,0.7721518987341772
12,3,1.3333333333333333,1434871719750048430,2828176623216163892,0.019120707596253908,0.5654008438818565
13,2,2.5,-5914735472903460920,-9034512706359606782,0.04799687825182103,0.7151898734177216
14,2,1.5,1469584125830491853,-5741639504451708457,0.04103798126951093,0.6772151898734178
15,3,1.3333333333333333,-8204811084149069148,365736598790012257,0.014389308012486996,0.6244725738396625
16,4,2.5,-159625262583219799,8985087791877823487,0.020486472424557756,0.4272151898734177
17,2,1.0,1986887483683313836,-8665280936538865998,0.04693190686784601,0.8670886075949367
18,2,1.5,-2008040158371412065,-1417401272712686156,0.02145388917793966,0.7911392405063291
19,2,2.5,-6867290789522542108,5224382229132059417,0.020567767950052038,0.45569620253164556
20,3,3.3333333333333335,-8988953479736964531,-5920247411456120807,0.0036149410336455165,0.3164556962025316
21,2,2.5,-5466133510888592551,-6465813851430267138,0.02685191207075964,0.5822784810126582
22,3,3.3333333333333335,-3917271009425799631,-4175977774407147060,0.02113683662851196,0.4050632911392405
23,1,1.0,305668928598953830,-4255621452356395501,0.09657908428720083,0.8354430379746836
24,3,1.6666666666666667,4078504486488274576,5150878816852799634,0.03210631286853972,0.5147679324894515
25,2,1.5,-5839132642987942349,509419133980743574,0.032558857960457856,0.5316455696202532
26,2,1.5,7964399402310126488,1241527279684733236,0.060500130072840795,0.6455696202531646
27,6,2.1666666666666665,303018294381507198,-7148707451629714733,0.0029510275754422526,0.3755274261603376
28,4,2.25,-4175036774578788664,7657754789486963107,0.03670086498439127,0.620253164556962
29,2,1.0,1047922224785075869,-1121716226742253588,0.03520909209157128,0.810126582278481
