Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3.400000,976340229801220493,,0.157998,0.727848
1,10,4.100000,-7910174600741877041,,0.160746,0.740506
2,10,3.700000,-986803214068069614,,0.161020,0.741772
3,10,3.500000,-5185477647917593678,,0.156624,0.721519
4,10,3.200000,1460570171212168923,,0.159097,0.732911
5,10,3.900000,-7550282398100885007,,0.163493,0.753165
6,10,3.300000,594727344823564867,,0.159921,0.736709
7,10,3.600000,6535692512511528692,,0.159097,0.732911
8,10,3.300000,-8118647211626895026,,0.157998,0.727848
9,10,3.700000,-5943115126710776622,,0.159372,0.734177
10,10,3.700000,7354758028696582856,,0.163219,0.751899
11,10,3.500000,-1644366302335475432,,0.157998,0.727848
12,10,3.100000,1434871719750048430,,0.156624,0.721519
13,10,3.400000,-5914735472903460920,,0.159921,0.736709
14,10,3.300000,1469584125830491853,,0.158547,0.730380
15,10,3.700000,-8204811084149069148,,0.158547,0.730380
16,10,3.400000,-159625262583219799,,0.157998,0.727848
17,10,3.300000,1986887483683313836,,0.161295,0.743038
18,10,3.500000,-2008040158371412065,,0.160196,0.737975
19,10,3.600000,-6867290789522542108,,0.159921,0.736709
20,10,3.600000,-8988953479736964531,,0.159647,0.735443
21,10,4.100000,-5466133510888592551,,0.163768,0.754430
22,10,3.700000,-3917271009425799631,,0.159921,0.736709
23,10,3.700000,305668928598953830,,0.158822,0.731646
24,10,4.600000,4078504486488274576,,0.162120,0.746835
25,10,3.600000,-5839132642987942349,,0.155525,0.716456
26,10,3.900000,7964399402310126488,,0.157998,0.727848
27,10,3.800000,303018294381507198,,0.157174,0.724051
28,10,4.100000,-4175036774578788664,,0.162944,0.750633
29,10,3.500000,1047922224785075869,,0.158547,0.730380
