Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,35.0,-7043758742217982857,-1403849922141877041,NaN,0.05063291139240506
1,3,39.333333333333336,8707954276765923475,3494007887878791894,NaN,0.012658227848101266
2,3,167.33333333333334,4662079647706855674,7508633387557572112,NaN,0.03375527426160337
3,3,355.3333333333333,-4802810422631167565,2110582207879962317,NaN,0.0
4,3,3.0,3996895840604163169,-4558074103550828052,0.005961671869580298,0.08860759493670887
5,3,82.0,7248772592320880373,-6497413403819409192,NaN,0.012658227848101266
6,3,847.3333333333334,-583284472280717930,-63629750025840530,NaN,0.0
7,3,32.333333333333336,5450613601987745598,5317663865973900746,NaN,0.11814345991561181
8,3,100.66666666666667,2465215686545525737,-6431331078986689710,NaN,0.0
9,3,482.6666666666667,-5925965430943097785,6335592021948362104,NaN,0.0
10,3,174.0,4073465034293261895,4313741267396126206,NaN,0.021097046413502112
11,3,336.6666666666667,5500982552707870460,2526214733742792147,NaN,0.0
12,3,538.3333333333334,-8087152709295267412,2648742619017773235,NaN,0.0
13,3,144.0,2463345219707692294,-8046758488844639432,NaN,0.004219409282700422
14,3,176.66666666666666,-1573151565400991018,-2616708676771079425,NaN,0.1350210970464135
15,3,39.333333333333336,6575360535712148390,-1805582480024280570,NaN,0.004219409282700422
16,3,100.33333333333333,8545452842038112058,-5035950286776692362,NaN,0.021097046413502112
17,3,4.0,4559753183287092164,-2456035611707470479,-0.0020865851543531034,0.18565400843881855
18,3,118.33333333333333,-7717894359530931909,6277288492815411873,NaN,0.016877637130801686
19,3,59.333333333333336,-340603513212638393,5309663397769344917,NaN,0.02531645569620253
20,3,89.33333333333333,7203957500691921817,-6738524278293317835,NaN,0.15611814345991562
21,3,1028.6666666666667,-7368748405856802905,4420578218855567053,NaN,0.0
22,3,223.0,7591611675976974375,8683199086055408007,NaN,0.029535864978902954
23,3,498.6666666666667,-8780158238612052545,1111228063567223878,NaN,0.0
24,3,362.3333333333333,-9186212156855358016,5178310774042738751,NaN,0.0
25,3,991.3333333333334,1412406304787882727,4244944510404761550,NaN,0.0
26,3,137.66666666666666,2476015689387133307,-5195625406954602421,NaN,0.021097046413502112
27,3,123.66666666666667,3685151638898250562,3537160750040737009,NaN,0.02531645569620253
28,3,102.33333333333333,3374496202386331421,-5074875818431890921,NaN,0.03375527426160337
29,3,774.0,-4440044104520074924,-6245763461864010426,NaN,0.0
