Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,100,937.26,-7043758742217982857,,NaN,0.0
1,100,941.09,8707954276765923475,,NaN,0.0
2,100,947.1,4662079647706855674,,NaN,0.0
3,1,4.0,-4802810422631167565,,1.788501560874088E-4,0.012658227848101266
4,100,953.34,3996895840604163169,,NaN,0.0
5,1,3.0,7248772592320880373,,0.0518665452653486,0.6708860759493671
6,100,952.72,-583284472280717930,,NaN,0.0
7,1,4.0,5450613601987745598,,0.011495187304890743,0.17721518987341772
8,1,1.0,2465215686545525737,,0.010926118626430802,0.22784810126582278
9,100,943.35,-5925965430943097785,,NaN,0.0
10,100,943.3,4073465034293261895,,NaN,0.0
11,100,947.92,5500982552707870460,,NaN,0.0
12,2,1.5,-8087152709295267412,,-0.0037721123829344404,0.2784810126582279
13,1,2.0,2463345219707692294,,0.010178199791883455,0.26582278481012656
14,100,942.67,-1573151565400991018,,NaN,0.0
15,1,3.0,6575360535712148390,,0.006747528616024976,0.11392405063291139
16,100,941.88,8545452842038112058,,NaN,0.0
17,2,1.5,4559753183287092164,,-0.002536420395421437,0.41139240506329117
18,2,5.5,-7717894359530931909,,-0.007349115504682622,0.02531645569620253
19,100,951.98,-340603513212638393,,NaN,0.0
20,100,940.15,7203957500691921817,,NaN,0.0
21,1,5.0,-7368748405856802905,,0.00199986992715921,0.05063291139240506
22,100,953.7,7591611675976974375,,NaN,0.0
23,100,948.44,-8780158238612052545,,NaN,0.0
24,100,942.81,-9186212156855358016,,NaN,0.0
25,100,947.53,1412406304787882727,,NaN,0.0
26,1,3.0,2476015689387133307,,0.012633324661810613,0.0759493670886076
27,1,3.0,3685151638898250562,,-0.002390088449531737,0.012658227848101266
28,2,4.5,3374496202386331421,,-0.0031623959417273586,0.3670886075949367
29,1,3.0,-4440044104520074924,,-0.003316857440166493,0.0379746835443038
