Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,5685.666666666667,3394053878439304766,,NaN,0.0
1,3,5341.333333333333,8031753614496833124,,NaN,0.0
2,3,5403.0,5749707386842579805,,NaN,0.0
3,3,5248.333333333333,-7108450670121493499,,NaN,0.0
4,3,5909.333333333333,4226493937843085135,,NaN,0.0
5,3,5515.666666666667,-8718212088944526529,,NaN,0.0
6,3,5569.333333333333,8613096305672968387,,NaN,0.0
7,3,5321.333333333333,-1991451534383343133,,NaN,0.0
8,3,5609.333333333333,2798483654236051920,,NaN,0.0
9,3,5431.0,8909983974411608792,,NaN,0.0
10,3,5741.333333333333,4286777641714463834,,NaN,0.0
11,3,5620.0,-7431114949873425636,,NaN,0.0
12,3,5603.666666666667,5999427699553298618,,NaN,0.0
13,3,5522.0,-3803985480541803767,,NaN,0.0
14,3,5532.0,3151921647258940062,,NaN,0.0
15,3,5389.0,1223193723853012953,,NaN,0.0
16,3,5527.333333333333,2637859300016226348,,NaN,0.0
17,3,5897.333333333333,1336982290880962924,,NaN,0.0
18,3,5832.333333333333,-5442790682629687443,,NaN,0.0
19,3,5457.0,1028980390827288648,,NaN,0.0
20,3,5599.666666666667,6939512748233928168,,NaN,0.0
21,3,5811.333333333333,2850581160160542688,,NaN,0.0
22,3,5585.666666666667,-3684115661748767091,,NaN,0.0
23,3,5691.666666666667,-8938752901239521000,,NaN,0.0
24,3,4911.0,4687652294793308629,,NaN,0.0
25,3,5425.666666666667,-1251935215777009400,,NaN,0.0
26,3,5677.333333333333,3993438426385288230,,NaN,0.0
27,3,5722.666666666667,2234823566502373376,,NaN,0.0
28,3,5705.666666666667,-1229260075000547717,,NaN,0.0
29,3,5627.0,-8106860695108836149,,NaN,0.0
