Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3.000000,-2091781416315349196,2009131599376394931,0.086006,0.396203
1,10,2.700000,-8521239748196121270,-5062402545521630803,0.068420,0.315190
2,10,8.800000,-7566401908741690337,-7252125241289603533,0.050559,0.232911
3,10,3.500000,-89773468390580512,1233806087779548067,0.095348,0.439241
4,10,3.700000,-8256524777413992071,-8961734915162739938,0.104691,0.482278
5,10,6.000000,3328494796473223585,6055639455690432392,0.098646,0.454430
6,10,4.800000,2612882295546988440,-5530452328170460038,0.114308,0.526582
7,10,4.300000,-5163372958789919374,-4720881000921804180,0.046438,0.213924
8,10,4.500000,3385433343347530987,-5728052298528108653,0.081609,0.375949
9,10,8.300000,-3847339608244300013,1755659108968164426,0.086281,0.397468
10,10,3.400000,-4101125305519763887,-8824933875414801652,0.099891,0.460759
11,10,3.900000,819175930059211411,-6143988978685274314,0.099195,0.456962
12,10,5.500000,217785903735433383,-3094566579830246602,0.062100,0.286076
13,10,4.400000,4042834825420675334,6289487539683233234,0.063474,0.292405
14,10,3.800000,3616132071585107875,430569481588912036,0.064023,0.294937
15,10,3.200000,1590451393687422326,-730080016039260922,0.098371,0.453165
16,10,3.200000,5363121094897192416,-3768014177474210306,0.072542,0.334177
17,10,5.200000,7895803878238913815,-2642318853064708881,0.095073,0.437975
18,10,3.100000,-3647089645581086152,1105819833821738517,0.083808,0.386076
19,10,5.500000,-4442192648761502019,5676534778742773015,0.110736,0.510127
20,10,3.400000,-5767197059687895463,5448226830076404536,0.061276,0.282278
21,10,4.000000,4681259504429559186,-2652893049701515289,0.083808,0.386076
22,10,3.000000,9171473416695245458,3027956314915481285,0.041217,0.189873
23,10,3.900000,1581655030637107971,210171898585629017,0.065397,0.301266
24,10,3.200000,-4468010979168714002,-7146463242709170174,0.092326,0.425316
25,10,4.100000,-4063388110868880390,5603863631075198193,0.075015,0.345570
26,10,3.300000,3878992242685108611,-5398068437603615443,0.098096,0.451899
27,10,3.600000,-6092926502412241582,-1688339251824576787,0.082708,0.381013
28,10,4.500000,3844331254771067403,1845212370632661457,0.046034,0.212658
29,10,6.300000,-6615776650209891449,-3766968229810156357,0.041492,0.191139
